!
!Date: 11/09/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
ZAP1	YJL056C	RAD27	YKL113C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	RAD27	YKL113C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Taggart J, et al. (2017) PMID:28963784
ZAP1	YJL056C	RRT1	YBL048W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	RTC4	YNL254C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	RTC4	YNL254C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	northern blot evidence	S288C	Taggart J, et al. (2017) PMID:28963784
ZAP1	YJL056C	RTC4	YNL254C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Taggart J, et al. (2017) PMID:28963784
ZAP1	YJL056C	SEG1	YMR086W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	TKL2	YBR117C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	TPO5	YKL174C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	UBI4	YLL039C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	northern blot evidence	S288C	MacDiarmid CW, et al. (2016) PMID:27432887
ZAP1	YJL056C	URA10	YMR271C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	VEL1	YGL258W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	YEH2	YLR020C	positive	transcription		transcription factor	positive	transcription		manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Singh N, et al. (2016) PMID:26711224
ZAP1	YJL056C	YJL132W	YJL132W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	YLL020C	YLL020C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	YNL234W	YNL234W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	YOL131W	YOL131W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	YOR387C	YOR387C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZAP1	YJL056C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZAP1	YJL056C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	W303	Zhao H, et al. (1998) PMID:9786867
ZAP1	YJL056C	ZIP1	YDR285W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZPS1	YOL154W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZRC1	YMR243C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZRG17	YNR039C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZRG17	YNR039C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	S1 nuclease protection assay evidence	Other	Wu YH, et al. (2011) PMID:21250939
ZAP1	YJL056C	ZRG17	YNR039C		transcription	cellular response to zinc ion starvation	transcription factor		transcription	cellular response to zinc ion starvation	manually curated	electrophoretic mobility shift assay evidence	Other	Wu YH, et al. (2011) PMID:21250939
ZAP1	YJL056C	ZRT1	YGL255W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZRT1	YGL255W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	northern blot evidence	W303	Zhao H and Eide DJ (1997) PMID:9271382
ZAP1	YJL056C	ZRT1	YGL255W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	W303	Zhao H and Eide DJ (1997) PMID:9271382
ZAP1	YJL056C	ZRT1	YGL255W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	W303	Zhao H, et al. (1998) PMID:9786867
ZAP1	YJL056C	ZRT2	YLR130C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ZRT2	YLR130C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	W303	Zhao H and Eide DJ (1997) PMID:9271382
ZAP1	YJL056C	ZRT2	YLR130C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	northern blot evidence	W303	Zhao H and Eide DJ (1997) PMID:9271382
ZAP1	YJL056C	ZRT2	YLR130C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	beta-galactosidase reporter gene assay evidence	W303	Zhao H, et al. (1998) PMID:9786867
ZAP1	YJL056C	ZRT3	YKL175W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	manually curated	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
