Regulator,Regulator Systematic Name,Target,Target Systematic Name,Direction,Regulation of,Happens During,Regulator Type,Direction,Regulation Of,Happens During,Method,Evidence,Strain Background,Reference
GCN4,YEL009C,ARO3,YDR035W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ARO3,YDR035W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ARO4,YBR249C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ARO4,YBR249C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ARO8,YGL202W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ARO9,YHR137W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ASN1,YPR145W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ATG1,YGL180W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ATG33,YLR356W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ATG36,YJL185C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ATG41,YPL250C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ATP7,YKL016C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ATR1,YML116W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ATR1,YML116W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BAP2,YBR068C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,BAP2,YBR068C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BAT1,YHR208W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BIO3,YNR058W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BNA1,YJR025C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,BNA1,YJR025C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BOP2,YLR267W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,BOP2,YLR267W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BSC1,YDL037C,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,BSC5,YNR069C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,CAN1,YEL063C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,CAN1,YEL063C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,CDC21,YOR074C,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,CIA2,YHR122W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,CIA2,YHR122W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,CLD1,YGR110W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,CMC4,YMR194C-B,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,COA4,YLR218C,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,COX9,YDL067C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,CPA1,YOR303W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,CPA2,YJR109C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,CRF1,YDR223W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,DAL7,YIR031C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,DEF1,YKL054C,,transcription,,transcription factor,,transcription,,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Hu Z, et al. (2007) PMID:17417638"
GCN4,YEL009C,DIC1,YLR348C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,DMA2,YNL116W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ECM13,YBL043W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ERR2,YPL281C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,EUG1,YDR518W,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,FCY2,YER056C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,FET4,YMR319C,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,FIT3,YOR383C,,transcription,,transcription factor,,transcription,,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Hu Z, et al. (2007) PMID:17417638"
GCN4,YEL009C,FMP23,YBR047W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,FOL2,YGR267C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,FRE7,YOL152W,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,FRM2,YCL026C-A,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,FUS1,YCL027W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,GAS3,YMR215W,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,GAT2,YMR136W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GCV1,YDR019C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,GCV2,YMR189W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GCV2,YMR189W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,GGC1,YDL198C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GID8,YMR135C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GIP3,YPL137C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GLK1,YCL040W,,transcription,,transcription factor,,transcription,,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Hu Z, et al. (2007) PMID:17417638"
GCN4,YEL009C,GLN3,YER040W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GLT1,YDL171C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,GLT1,YDL171C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,GPI11,YDR302W,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,GRE1,YPL223C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HBT1,YDL223C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HES1,YOR237W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HHO1,YPL127C,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HIS3,YOR202W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HIS4,YCL030C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HIS5,YIL116W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HIS5,YIL116W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HIS7,YBR248C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HIS7,YBR248C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HMS2,YJR147W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HOM2,YDR158W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HOM3,YER052C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HOM3,YER052C,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HOR7,YMR251W-A,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HRB1,YNL004W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HRI1,YLR301W,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HSC82,YMR186W,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HSL1,YKL101W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HSP104,YLL026W,,transcription,,transcription factor,,transcription,,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Hu Z, et al. (2007) PMID:17417638"
GCN4,YEL009C,HSP30,YCR021C,,transcription,,transcription factor,,transcription,,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Hu Z, et al. (2007) PMID:17417638"
GCN4,YEL009C,HSP32,YPL280W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HSP42,YDR171W,,transcription,,transcription factor,,transcription,,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Hu Z, et al. (2007) PMID:17417638"
GCN4,YEL009C,HUB1,YNR032C-A,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,HVG1,YER039C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,HXT4,YHR092C,negative,transcription,cellular response to boron-containing substance levels,transcription factor,negative,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ICY1,YMR195W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,IDP1,YDL066W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,IDP1,YDL066W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ILS1,YBL076C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ILV1,YER086W,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
GCN4,YEL009C,ILV2,YMR108W,positive,transcription,cellular response to boron-containing substance levels,transcription factor,positive,transcription,cellular response to boron-containing substance levels,high-throughput,DNA to cDNA expression microarray evidence,S288C,"Uluisik I, et al. (2011) PMID:22114689"
GCN4,YEL009C,ILV3,YJR016C,,transcription,,transcription factor,,transcription,,high-throughput,chromatin immunoprecipitation-chip evidence,W303,"MacIsaac KD, et al. (2006) PMID:16522208"
