Interactor,Interactor Systematic Name,Interactor,Interactor Systematic Name,Assay,Annotation,Action,Modification,Source,Reference,Note
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,GCN20,YFR009W,Reconstituted Complex,manually curated,Bait,No Modification,BioGRID,"Dokládal L, et al. (2021) PMID:33743194",
GCN1,YGL195W,GCN20,YFR009W,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Dokládal L, et al. (2021) PMID:33743194",
GCN1,YGL195W,GFA1,YKL104C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,GGA2,YHR108W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,GIR2,YDR152W,Affinity Capture-Western,manually curated,Hit,No Modification,BioGRID,"Wout PK, et al. (2009) PMID:19448108",
GCN1,YGL195W,GIR2,YDR152W,Two-hybrid,manually curated,Hit,No Modification,BioGRID,"Wout PK, et al. (2009) PMID:19448108",
GCN1,YGL195W,GIR2,YDR152W,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Ishikawa K, et al. (2013) PMID:23899355",
GCN1,YGL195W,GIR2,YDR152W,Two-hybrid,manually curated,Hit,No Modification,BioGRID,"Ishikawa K, et al. (2013) PMID:23899355",
GCN1,YGL195W,GIR2,YDR152W,Reconstituted Complex,manually curated,Bait,No Modification,BioGRID,"Ishikawa K, et al. (2013) PMID:23899355",
GCN1,YGL195W,HHF1,YBR009C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,HOG1,YLR113W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"MacGilvray ME, et al. (2018) PMID:29738528",
GCN1,YGL195W,HRT1,YOL133W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ho Y, et al. (2002) PMID:11805837",
GCN1,YGL195W,HSC82,YMR186W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Girstmair H, et al. (2019) PMID:31399574",
GCN1,YGL195W,HSP82,YPL240C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Girstmair H, et al. (2019) PMID:31399574",
GCN1,YGL195W,IDH2,YOR136W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,ISW1,YBR245C,Affinity Capture-RNA,high-throughput,Hit,No Modification,BioGRID,"Babour A, et al. (2016) PMID:27863241",in npl3 mutant background
GCN1,YGL195W,KAP104,YBR017C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,KAP104,YBR017C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,KAP123,YER110C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,KAP123,YER110C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,KRE33,YNL132W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,LEM3,YNL323W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ho Y, et al. (2002) PMID:11805837",
GCN1,YGL195W,LSB3,YFR024C-A,Two-hybrid,high-throughput,Hit,No Modification,BioGRID,"Tonikian R, et al. (2009) PMID:19841731",
GCN1,YGL195W,LYS12,YIL094C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,LYS12,YIL094C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,MAE1,YKL029C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,MAK5,YBR142W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,MCA1,YOR197W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Shrestha A, et al. (2019) PMID:30675380",
GCN1,YGL195W,MIR1,YJR077C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,MKK2,YPL140C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Breitkreutz A, et al. (2010) PMID:20489023",
GCN1,YGL195W,MLP2,YIL149C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Niepel M, et al. (2013) PMID:24152732",
GCN1,YGL195W,MMS22,YLR320W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Buser R, et al. (2016) PMID:26849847",Table S2
GCN1,YGL195W,MOB1,YIL106W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Breitkreutz A, et al. (2010) PMID:20489023",
GCN1,YGL195W,MOT1,YPL082C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,MPT5,YGL178W,Affinity Capture-RNA,high-throughput,Hit,No Modification,BioGRID,"Miller JE, et al. (2018) PMID:29158339",
GCN1,YGL195W,MTR4,YJL050W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,MYO2,YOR326W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,MYO4,YAL029C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,NAB2,YGL122C,Affinity Capture-RNA,high-throughput,Hit,No Modification,BioGRID,"Batisse J, et al. (2009) PMID:19840948",High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).
GCN1,YGL195W,NMD5,YJR132W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,NUS1,YDL193W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ho Y, et al. (2002) PMID:11805837",
GCN1,YGL195W,OLA1,YBR025C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,PET9,YBL030C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,POR1,YNL055C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,PSA1,YDL055C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,PSG1,YKL077W,Affinity Capture-MS,manually curated,Hit,No Modification,BioGRID,"Geva Y, et al. (2017) PMID:28727280",
GCN1,YGL195W,RAD3,YER171W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,RBG2,YGR173W,PCA,high-throughput,Bait,No Modification,BioGRID,"Tarassov K, et al. (2008) PMID:18467557",
GCN1,YGL195W,RBG2,YGR173W,Affinity Capture-Western,manually curated,Hit,No Modification,BioGRID,"Daugeron MC, et al. (2011) PMID:21076151",
GCN1,YGL195W,RBG2,YGR173W,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Ishikawa K, et al. (2013) PMID:23899355",
GCN1,YGL195W,RET1,YOR207C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Bhalla P, et al. (2019) PMID:30593915",active state interactome
GCN1,YGL195W,RFA1,YAR007C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Chen SH, et al. (2010) PMID:20190278",RFA1 is TAP-tagged
GCN1,YGL195W,RLP7,YNL002C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Babiano R, et al. (2013) PMID:23945946",
GCN1,YGL195W,RPL25,YOL127W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPL26A,YLR344W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPL31A,YDL075W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPN1,YHR027C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Guerrero C, et al. (2008) PMID:18757749",
GCN1,YGL195W,RPN10,YHR200W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Guerrero C, et al. (2008) PMID:18757749",
GCN1,YGL195W,RPN11,YFR004W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Guerrero C, et al. (2008) PMID:18757749",
GCN1,YGL195W,RPN11,YFR004W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Kaake RM, et al. (2010) PMID:20170199",Proteasome interacting proteins (PIPs) were identified using QTAX (quantitative analysis of tandem affinity purified in vivo cross-linked (X) protein complexes).  TAP-tagged Rpn11 and in vivo formaldehyde cross-linking were used in the experiment.
GCN1,YGL195W,RPS0A,YGR214W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS10A,YOR293W,Reconstituted Complex,manually curated,Hit,No Modification,BioGRID,"Lee SJ, et al. (2015) PMID:25437641",Figure 2b
GCN1,YGL195W,RPS10A,YOR293W,Two-hybrid,manually curated,Bait,No Modification,BioGRID,"Lee SJ, et al. (2015) PMID:25437641",Figure 1b
GCN1,YGL195W,RPS10A,YOR293W,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Lee SJ, et al. (2015) PMID:25437641",Figure 1c
GCN1,YGL195W,RPS10A,YOR293W,Reconstituted Complex,manually curated,Bait,No Modification,BioGRID,"Lee SJ, et al. (2015) PMID:25437641",Figure 2a
GCN1,YGL195W,RPS10A,YOR293W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS12,YOR369C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS13,YDR064W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS14A,YCR031C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS15,YOL040C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS17A,YML024W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS1A,YLR441C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS1B,YML063W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,RPS2,YGL123W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS20,YHL015W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS22A,YJL190C,Co-fractionation,manually curated,Bait,No Modification,BioGRID,"Visweswaraiah J, et al. (2012) PMID:22888004",
GCN1,YGL195W,RPS22A,YJL190C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS22B,YLR367W,Co-fractionation,manually curated,Bait,No Modification,BioGRID,"Visweswaraiah J, et al. (2012) PMID:22888004",
GCN1,YGL195W,RPS27A,YKL156W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS3,YNL178W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,RPS3,YNL178W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RPS8A,YBL072C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Rössler I, et al. (2019) PMID:31062022",
GCN1,YGL195W,RTS1,YOR014W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Breitkreutz A, et al. (2010) PMID:20489023",
GCN1,YGL195W,RVB1,YDR190C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Lakshminarasimhan M, et al. (2016) PMID:26831523",MudPIT
GCN1,YGL195W,RVB2,YPL235W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,RVB2,YPL235W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Lakshminarasimhan M, et al. (2016) PMID:26831523",MudPIT
GCN1,YGL195W,SAM1,YLR180W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,SAM1,YLR180W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,SBP1,YHL034C,Affinity Capture-RNA,high-throughput,Hit,No Modification,BioGRID,"Mitchell SF, et al. (2013) PMID:23222640",UV cross-linking followed by immunoprecipitation
GCN1,YGL195W,SDS23,YGL056C,PCA,high-throughput,Hit,No Modification,BioGRID,"Tarassov K, et al. (2008) PMID:18467557",
GCN1,YGL195W,SEC4,YFL005W,Affinity Capture-MS,manually curated,Hit,No Modification,BioGRID,"Koch D, et al. (2016) PMID:26918858",
GCN1,YGL195W,SEC53,YFL045C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,SGV1,YPR161C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Breitkreutz A, et al. (2010) PMID:20489023",
GCN1,YGL195W,SLC1,YDL052C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,SMC3,YJL074C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2002) PMID:11805826",
GCN1,YGL195W,SND2,YLR065C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Aviram N, et al. (2016) PMID:27905431",
GCN1,YGL195W,SND3,YBR106W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Aviram N, et al. (2016) PMID:27905431",
GCN1,YGL195W,SPC34,YKR037C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Krogan NJ, et al. (2006) PMID:16554755",
GCN1,YGL195W,SPT10,YJL127C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Kurat CF, et al. (2014) PMID:25228766","Figure S1, Dataset S1"
GCN1,YGL195W,SPT21,YMR179W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Kurat CF, et al. (2014) PMID:25228766","Figure S1, Dataset S1"
GCN1,YGL195W,SSA1,YAL005C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Babu M, et al. (2012) PMID:22940862","Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1."
GCN1,YGL195W,SSA2,YLL024C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Babu M, et al. (2012) PMID:22940862","Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1."
GCN1,YGL195W,SSB1,YDL229W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Babu M, et al. (2012) PMID:22940862","Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1."
GCN1,YGL195W,SUP35,YDR172W,Affinity Capture-MS,manually curated,Hit,No Modification,BioGRID,"Speldewinde SH, et al. (2017) PMID:28369054",
GCN1,YGL195W,SWA2,YDR320C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gong Y, et al. (2009) PMID:19536198","The authors note that 21,687 interactions were identified as high confidence based on experimental scores and the distribution of scores in reference databases.  Only 1420 high confidence interactions were submitted to BioGRID by the authors because they met the additional criteria of containing reciprocal interactors in terms of the bait-prey relationship."
GCN1,YGL195W,SWA2,YDR320C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gong Y, et al. (2009) PMID:19536198","The authors note that 21,687 interactions were identified as high confidence based on experimental scores and the distribution of scores in reference databases.  Only 1420 high confidence interactions were submitted to BioGRID by the authors because they met the additional criteria of containing reciprocal interactors in terms of the bait-prey relationship."
GCN1,YGL195W,TGL5,YOR081C,PCA,high-throughput,Bait,No Modification,BioGRID,"Tarassov K, et al. (2008) PMID:18467557",
GCN1,YGL195W,TMA108,YIL137C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Delaveau T, et al. (2016) PMID:27580715",
GCN1,YGL195W,TMA46,YOR091W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Delaveau T, et al. (2016) PMID:27580715",
GCN1,YGL195W,TOM1,YDR457W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Sung MK, et al. (2016) PMID:27552055",
GCN1,YGL195W,TPM2,YIL138C,PCA,high-throughput,Bait,No Modification,BioGRID,"Tarassov K, et al. (2008) PMID:18467557",
GCN1,YGL195W,TSC13,YDL015C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,TUB1,YML085C,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,TUB2,YFL037W,Affinity Capture-MS,high-throughput,Bait,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,TUB3,YML124C,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,UBC6,YER100W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Ho Y, et al. (2002) PMID:11805837",
GCN1,YGL195W,UBP10,YNL186W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Richardson LA, et al. (2012) PMID:22902402",in vivo co-IP with cross-linker
GCN1,YGL195W,UTP10,YJL109C,Affinity Capture-MS,manually curated,Hit,No Modification,BioGRID,"Sturm M, et al. (2017) PMID:29263326",
GCN1,YGL195W,UTP14,YML093W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Krogan NJ, et al. (2006) PMID:16554755",
GCN1,YGL195W,YHB1,YGR234W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Gavin AC, et al. (2006) PMID:16429126",
GCN1,YGL195W,YIH1,YCR059C,PCA,high-throughput,Hit,No Modification,BioGRID,"Tarassov K, et al. (2008) PMID:18467557",
GCN1,YGL195W,YIH1,YCR059C,Affinity Capture-Western,manually curated,Bait,No Modification,BioGRID,"Sattlegger E, et al. (2011) PMID:21239490",
GCN1,YGL195W,YIH1,YCR059C,Affinity Capture-Western,manually curated,Hit,No Modification,BioGRID,"Sattlegger E, et al. (2011) PMID:21239490",
GCN1,YGL195W,YIH1,YCR059C,Co-fractionation,manually curated,Hit,No Modification,BioGRID,"Waller T, et al. (2012) PMID:22404850",
GCN1,YGL195W,YNR048W,YNR048W,Affinity Capture-MS,high-throughput,Hit,No Modification,BioGRID,"Babu M, et al. (2012) PMID:22940862","Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1."
