Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
P00546|TX=559292,P00546,"P00546|TX=559292 OS=Yeast S288c GN=CDC28 TA=YBR160W_mRNA,NM_001178508.3 PA=YBR160W_mRNA,NP_009718.3,P00546",CDC28,298,OS=Yeast,1,0.999,14,33,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,
P00549|TX=559292,P00549,"P00549|TX=559292 OS=Yeast S288c GN=CDC19 TA=YAL038W_mRNA,NM_001178183.1 PA=P00549,YAL038W_mRNA,NP_009362.1",CDC19,500,OS=Yeast,1,0.999,55,1242,1143,1242,0,3,6,11,108,54,9,4,1,4,9,8,69,20,17,6,0,5,13,16,234,54,19,13,4,2,12,11,331,136,45,18,
P00560|TX=559292,P00560,"P00560|TX=559292 OS=Yeast S288c GN=YCR012W,PGK1 TA=YCR012W_mRNA,NM_001178725.1 PA=YCR012W_mRNA,NP_009938.2,P00560","YCR012W,PGK1",416,OS=Yeast,1,0.999,12,88,88,88,0,0,1,3,9,11,0,0,0,0,3,2,3,2,0,0,0,0,1,7,6,11,0,0,0,0,4,0,10,15,0,0,
P00815|TX=559292,P00815,"P00815|TX=559292 OS=Yeast S288c GN=YCL030C,HIS4 TA=YCL030C_mRNA,NM_001178675.1 PA=P00815,YCL030C_mRNA,NP_009900.2","YCL030C,HIS4",799,OS=Yeast,1,0.999,12,47,47,47,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,2,0,0,0,
P00830|TX=559292,P00830,"P00830|TX=559292 OS=Yeast S288c GN=ATP2,YJR121W TA=NM_001181779.3,YJR121W_mRNA PA=NP_012655.3,P00830,YJR121W_mRNA","ATP2,YJR121W",511,OS=Yeast,1,0.999,10,38,38,38,0,0,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,11,0,0,0,0,0,0,0,15,2,0,
P00925|TX=559292,P00925,"P00925|TX=559292 OS=Yeast S288c GN=ENO2 TA=NM_001179305.1,YHR174W_mRNA PA=NP_012044.1,YHR174W_mRNA,P00925",ENO2,437,OS=Yeast,1,0.999,11,139,39,139,0,3,3,8,10,10,0,0,2,3,7,6,5,1,1,1,1,6,5,10,9,6,0,0,1,0,7,6,10,14,2,2,
P00927|TX=559292,P00927,"P00927|TX=559292 OS=Yeast S288c GN=ILV1 TA=NM_001178977.1,YER086W_mRNA PA=P00927,YER086W_mRNA,NP_011009.1",ILV1,576,OS=Yeast,1,0.999,10,38,38,38,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,12,0,0,
P00931|TX=559292,P00931,"P00931|TX=559292 OS=Yeast S288c GN=YGL026C,TRP5 TA=NM_001180891.1,YGL026C_mRNA PA=NP_011489.1,P00931,YGL026C_mRNA","YGL026C,TRP5",707,OS=Yeast,1,0.999,18,54,54,54,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,24,3,0,0,
P00937|TX=559292,P00937,"P00937|TX=559292 OS=Yeast S288c GN=TRP3,YKL211C TA=NM_001179776.1,YKL211C_mRNA PA=NP_012711.1,YKL211C_mRNA,P00937","TRP3,YKL211C",484,OS=Yeast,1,0.999,13,28,27,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,15,0,0,
P00942|TX=559292,P00942,"P00942|TX=559292 OS=Yeast S288c GN=TPI1,YDR050C TA=NM_001180358.1,YDR050C_mRNA PA=NP_010335.1,YDR050C_mRNA,P00942","TPI1,YDR050C",248,OS=Yeast,1,0.999,6,42,42,42,0,0,0,0,0,1,5,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,6,5,0,0,0,0,0,1,8,3,
P00950|TX=559292,P00950,"P00950|TX=559292 OS=Yeast S288c GN=GPM1,YKL152C TA=NM_001179718.1,YKL152C_mRNA PA=NP_012770.1,P00950,YKL152C_mRNA","GPM1,YKL152C",247,OS=Yeast,1,0.999,7,44,44,44,1,1,0,1,2,1,2,1,1,1,2,2,1,0,7,0,1,1,1,1,1,1,2,1,1,0,1,0,1,1,6,2,
P00958|TX=559292,P00958,"P00958|TX=559292 OS=Yeast S288c GN=MES1 TA=YGR264C_mRNA,NM_001181393.3 PA=P00958,YGR264C_mRNA,NP_011780.3",MES1,751,OS=Yeast,1,0.999,13,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,0,
P01123|TX=559292,P01123,"P01123|TX=559292 OS=Yeast S288c GN=YPT1 TA=YFL038C_mRNA,NM_001179928.1 PA=NP_116615.1,YFL038C_mRNA,P01123",YPT1,206,OS=Yeast,1,0.9916,6,19,19,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,
P02309|TX=559292,P02309,"P02309|TX=559292 OS=Yeast S288c GN=HHF1,HHF2,YBR009C,YNL030W TA=YBR009C_mRNA,YNL030W_mRNA,NM_001178357.1,NM_001182869.1 PA=YBR009C_mRNA,P02309,YNL030W_mRNA,NP_009563.1,NP_014368.1","HHF1,HHF2,YBR009C,YNL030W",103,OS=Yeast,1,0.9988,2,21,21,21,0,0,0,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0,1,
P02400|TX=559292,P02400,"P02400|TX=559292 OS=Yeast S288c GN=RPP2B TA=NM_001180690.3,YDR382W_mRNA PA=NP_010670.3,YDR382W_mRNA,P02400",RPP2B,110,OS=Yeast,1,0.999,3,15,15,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,
P02406|TX=559292,P02406,"P02406|TX=559292 OS=Yeast S288c GN=RPL28 TA=NM_001180968.1,YGL103W_mRNA PA=NP_011412.1,YGL103W_mRNA,P02406",RPL28,149,OS=Yeast,1,0.9989,4,14,14,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,
P02407|TX=559292,P02407,"P02407|TX=559292 OS=Yeast S288c GN=RPS17A TA=YML024W_mRNA,NM_001182382.1 PA=YML024W_mRNA,P02407,NP_013688.1",RPS17A,136,OS=Yeast,1,0.999,4,30,0,30,0,0,0,2,0,2,1,3,0,0,1,0,0,0,2,2,0,0,0,2,0,1,0,5,2,0,0,0,0,0,2,5,P14127|TX=559292
P02557|TX=559292,P02557,"P02557|TX=559292 OS=Yeast S288c GN=TUB2 TA=YFL037W_mRNA,NM_001179929.1 PA=YFL037W_mRNA,P02557,NP_116616.1",TUB2,457,OS=Yeast,1,0.999,13,108,108,108,0,0,0,1,6,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,8,1,0,0,0,0,0,14,33,8,1,
P02992|TX=559292,P02992,"P02992|TX=559292 OS=Yeast S288c GN=TUF1 TA=NM_001183606.1,YOR187W_mRNA PA=P02992,NP_014830.1,YOR187W_mRNA",TUF1,437,OS=Yeast,1,0.999,6,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,
P02994|TX=559292,P02994,"P02994|TX=559292 OS=Yeast S288c GN=TEF2,TEF1 TA=YPR080W_mRNA,NM_001178466.1,YBR118W_mRNA,NM_001184177.1 PA=YPR080W_mRNA,YBR118W_mRNA,NP_009676.1,P02994,NP_015405.1","TEF2,TEF1",458,OS=Yeast,1,0.999,17,285,285,285,2,4,2,10,11,21,5,4,0,5,6,7,7,10,6,1,1,5,9,8,8,39,8,5,2,0,6,6,10,53,19,5,
P03871|TX=559292,P03871,P03871|TX=559292 OS=Yeast S288c GN=REP1 ,REP1,373,OS=Yeast,1,0.9988,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
P03965|TX=559292,P03965,"P03965|TX=559292 OS=Yeast S288c GN=CPA2,YJR109C TA=NM_001181767.3,YJR109C_mRNA PA=NP_012643.3,YJR109C_mRNA,P03965","CPA2,YJR109C",1118,OS=Yeast,1,0.999,23,64,63,64,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,30,8,1,0,0,0,
P04046|TX=559292,P04046,"P04046|TX=559292 OS=Yeast S288c GN=ADE4,YMR300C TA=YMR300C_mRNA,NM_001182809.1 PA=P04046,NP_014029.1,YMR300C_mRNA","ADE4,YMR300C",510,OS=Yeast,1,0.999,9,28,28,28,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,8,0,0,
P04147|TX=559292,P04147,"P04147|TX=559292 OS=Yeast S288c GN=PAB1,YER165W TA=YER165W_mRNA,NM_001179055.1 PA=YER165W_mRNA,P04147,NP_011092.1","PAB1,YER165W",577,OS=Yeast,1,0.999,10,29,29,29,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,1,0,0,
P04449|TX=559292,P04449,"P04449|TX=559292 OS=Yeast S288c GN=RPL24A TA=YGL031C_mRNA,NM_001180896.1 PA=YGL031C_mRNA,P04449,NP_011484.1",RPL24A,155,OS=Yeast,1,0.9987,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,P24000|TX=559292
P04456|TX=559292,P04456,"P04456|TX=559292 OS=Yeast S288c GN=RPL25 TA=YOL127W_mRNA,NM_001183381.1 PA=YOL127W_mRNA,P04456,NP_014514.1",RPL25,142,OS=Yeast,1,0.999,5,20,20,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,7,
P04801|TX=559292,P04801,"P04801|TX=559292 OS=Yeast S288c GN=THS1 TA=NM_001179428.3,YIL078W_mRNA PA=P04801,NP_116578.3,YIL078W_mRNA",THS1,734,OS=Yeast,1,0.999,11,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,
P04819-2|TX=559292,P04819-2,P04819-2|TX=559292 OS=Yeast S288c ,,732,OS=Yeast,1,0.9986,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,P04819|TX=559292
P04821|TX=559292,P04821,"P04821|TX=559292 OS=Yeast S288c GN=CDC25 TA=YLR310C_mRNA,NM_001182198.1 PA=YLR310C_mRNA,P04821,NP_013413.1",CDC25,1589,OS=Yeast,1,0.999,14,76,74,76,0,2,10,6,0,0,0,0,0,7,10,3,0,0,0,0,0,10,5,7,0,0,0,0,0,2,5,8,1,0,0,0,
P04840|TX=559292,P04840,"P04840|TX=559292 OS=Yeast S288c GN=POR1 TA=YNL055C_mRNA,NM_001182894.1 PA=NP_014343.1,YNL055C_mRNA,P04840",POR1,283,OS=Yeast,1,0.999,16,105,105,105,0,0,0,0,0,0,8,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,29,6,
P05317|TX=559292,P05317,"P05317|TX=559292 OS=Yeast S288c GN=RPP0 TA=NM_001182229.1,YLR340W_mRNA PA=YLR340W_mRNA,NP_013444.1,P05317",RPP0,312,OS=Yeast,1,0.999,10,52,52,52,0,0,0,0,0,3,2,0,0,0,0,0,0,1,10,0,0,0,0,0,1,2,8,0,0,0,0,0,0,1,23,1,
P05319|TX=559292,P05319,"P05319|TX=559292 OS=Yeast S288c GN=RPP2A TA=YOL039W_mRNA,NM_001183293.1 PA=YOL039W_mRNA,NP_014603.1,P05319",RPP2A,106,OS=Yeast,1,0.999,2,8,8,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,
P05374|TX=559292,P05374,"P05374|TX=559292 OS=Yeast S288c GN=CHO2 TA=YGR157W_mRNA,NM_001181286.1 PA=YGR157W_mRNA,NP_011673.1,P05374",CHO2,869,OS=Yeast,1,0.999,18,96,80,96,0,0,1,4,3,0,0,0,0,0,2,5,4,0,0,0,0,2,3,15,12,0,0,0,0,0,6,7,26,6,0,0,
P05738|TX=559292,P05738,"P05738|TX=559292 OS=Yeast S288c GN=RPL9A TA=YGL147C_mRNA,NM_001181012.3 PA=NP_011368.3,P05738,YGL147C_mRNA",RPL9A,191,OS=Yeast,1,0.999,5,26,0,26,0,0,0,0,0,1,2,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,8,P51401|TX=559292
P05739|TX=559292,P05739,"P05739|TX=559292 OS=Yeast S288c GN=RPL6B TA=NM_001182336.1,YLR448W_mRNA PA=P05739,NP_013553.1,YLR448W_mRNA",RPL6B,176,OS=Yeast,1,0.9985,7,33,5,33,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,
P05740|TX=559292,P05740,"P05740|TX=559292 OS=Yeast S288c GN=RPL17A TA=YKL180W_mRNA,NM_001179746.1 PA=YKL180W_mRNA,NP_012741.1,P05740",RPL17A,184,OS=Yeast,1,0.999,4,27,0,27,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,6,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,7,P46990|TX=559292
P05744|TX=559292,P05744,"P05744|TX=559292 OS=Yeast S288c GN=RPL33A TA=YPL143W_mRNA,NM_001183957.1 PA=YPL143W_mRNA,P05744,NP_015182.1",RPL33A,107,OS=Yeast,1,0.999,5,23,2,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,9,
P05750|TX=559292,P05750,"P05750|TX=559292 OS=Yeast S288c GN=RPS3 TA=YNL178W_mRNA,NM_001183016.3 PA=YNL178W_mRNA,NP_014221.3,P05750",RPS3,240,OS=Yeast,1,0.999,13,53,53,53,0,0,0,1,0,1,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,21,0,
P05756|TX=559292,P05756,"P05756|TX=559292 OS=Yeast S288c GN=RPS13 TA=YDR064W_mRNA,NM_001180372.3 PA=NP_010349.3,YDR064W_mRNA,P05756",RPS13,151,OS=Yeast,1,0.999,5,19,19,19,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,
P05759|TX=559292,P05759,"P05759|TX=559292 OS=Yeast S288c GN=RPS31 TA=NM_001182054.1,YLR167W_mRNA PA=P05759,YLR167W_mRNA,NP_013268.1",RPS31,152,OS=Yeast,1,0.999,9,166,2,166,2,1,2,7,5,2,2,0,1,3,3,3,4,0,2,1,0,3,7,18,24,13,3,5,2,3,7,5,17,13,6,2,
P06103|TX=559292,P06103,"P06103|TX=559292 OS=Yeast S288c GN=PRT1 TA=YOR361C_mRNA,NM_001183781.3 PA=P06103,NP_015006.3,YOR361C_mRNA",PRT1,763,OS=Yeast,1,0.999,13,61,61,61,0,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,15,0,0,0,
P06106|TX=559292,P06106,"P06106|TX=559292 OS=Yeast S288c GN=MET17 TA=NM_001182191.1,YLR303W_mRNA PA=NP_013406.1,YLR303W_mRNA,P06106",MET17,444,OS=Yeast,1,0.999,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
P06169|TX=559292,P06169,"P06169|TX=559292 OS=Yeast S288c GN=PDC1,YLR044C TA=YLR044C_mRNA,NM_001181931.1 PA=YLR044C_mRNA,NP_013145.1,P06169","PDC1,YLR044C",563,OS=Yeast,1,0.999,14,202,166,202,0,3,2,9,20,5,1,0,1,3,7,3,17,3,0,0,0,4,5,6,28,9,0,0,1,0,7,5,36,24,3,0,
P06182|TX=559292,P06182,"P06182|TX=559292 OS=Yeast S288c GN=CYC3 TA=NM_001178184.1,YAL039C_mRNA PA=YAL039C_mRNA,P06182,NP_009361.1",CYC3,269,OS=Yeast,1,0.9987,4,9,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,
P06245|TX=559292,P06245,"P06245|TX=559292 OS=Yeast S288c GN=TPK2 TA=YPL203W_mRNA,NM_001184017.1 PA=P06245,NP_015121.1,YPL203W_mRNA",TPK2,380,OS=Yeast,1,0.9948,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
P06634|TX=559292,P06634,"P06634|TX=559292 OS=Yeast S288c GN=DED1 TA=YOR204W_mRNA,NM_001183623.3 PA=YOR204W_mRNA,NP_014847.3,P06634",DED1,604,OS=Yeast,1,0.9974,8,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,
P06780|TX=559292,P06780,"P06780|TX=559292 OS=Yeast S288c GN=YPR165W,RHO1 TA=YPR165W_mRNA,NM_001184262.1 PA=NP_015491.1,YPR165W_mRNA,P06780","YPR165W,RHO1",209,OS=Yeast,1,0.9987,4,17,17,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,
P06782|TX=559292,P06782,"P06782|TX=559292 OS=Yeast S288c GN=SNF1 TA=NM_001180785.3,YDR477W_mRNA PA=YDR477W_mRNA,NP_010765.3,P06782",SNF1,633,OS=Yeast,1,0.999,16,100,100,100,0,0,0,3,19,3,0,0,0,0,0,7,9,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,24,7,0,0,
P07149|TX=559292,P07149,"P07149|TX=559292 OS=Yeast S288c GN=YKL182W,FAS1 TA=NM_001179748.1,YKL182W_mRNA PA=YKL182W_mRNA,NP_012739.1,P07149","YKL182W,FAS1",2051,OS=Yeast,1,0.9988,9,32,32,32,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,4,9,3,1,0,0,0,
P07172|TX=559292,P07172,"P07172|TX=559292 OS=Yeast S288c GN=YIL116W,HIS5 TA=NM_001179464.1,YIL116W_mRNA PA=P07172,YIL116W_mRNA,NP_012150.1","YIL116W,HIS5",385,OS=Yeast,1,0.999,6,14,14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,
P07213|TX=559292,P07213,"P07213|TX=559292 OS=Yeast S288c GN=TOM70 TA=NM_001182959.3,YNL121C_mRNA PA=P07213,NP_014278.3,YNL121C_mRNA",TOM70,617,OS=Yeast,1,0.999,12,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,1,0,0,
P07244|TX=559292,P07244,"P07244|TX=559292 OS=Yeast S288c GN=ADE5,7,YGL234W TA=NM_001181100.1,YGL234W_mRNA PA=NP_011280.1,YGL234W_mRNA,P07244","ADE5,7,YGL234W",802,OS=Yeast,1,0.999,18,56,56,56,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,31,0,0,0,
P07246|TX=559292,P07246,"P07246|TX=559292 OS=Yeast S288c GN=YMR083W,ADH3 TA=NM_001182582.1,YMR083W_mRNA PA=YMR083W_mRNA,NP_013800.1,P07246","YMR083W,ADH3",375,OS=Yeast,1,0.999,6,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1,0,
P07251|TX=559292,P07251,"P07251|TX=559292 OS=Yeast S288c GN=ATP1,YBL099W TA=YBL099W_mRNA,NM_001178339.2 PA=P07251,NP_009453.2,YBL099W_mRNA","ATP1,YBL099W",545,OS=Yeast,1,0.999,15,68,68,68,0,0,0,0,2,8,0,0,0,0,0,1,3,2,0,0,0,1,2,2,18,4,0,0,0,0,1,1,3,20,0,0,
P07253|TX=559292,P07253,"P07253|TX=559292 OS=Yeast S288c GN=CBP6,YBR120C TA=NM_001178468.3,YBR120C_mRNA PA=P07253,YBR120C_mRNA,NP_009678.3","CBP6,YBR120C",162,OS=Yeast,1,0.9914,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
P07256|TX=559292,P07256,"P07256|TX=559292 OS=Yeast S288c GN=COR1 TA=NM_001178285.1,YBL045C_mRNA PA=P07256,NP_009508.1,YBL045C_mRNA",COR1,457,OS=Yeast,1,0.999,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
P07257|TX=559292,P07257,"P07257|TX=559292 OS=Yeast S288c GN=QCR2 TA=YPR191W_mRNA,NM_001184288.1 PA=NP_015517.1,YPR191W_mRNA,P07257",QCR2,368,OS=Yeast,1,0.9989,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,
P07259|TX=559292,P07259,"P07259|TX=559292 OS=Yeast S288c GN=URA2,YJL130C TA=YJL130C_mRNA,NM_001181563.2 PA=YJL130C_mRNA,NP_012405.2,P07259","URA2,YJL130C",2214,OS=Yeast,1,0.999,65,340,323,340,0,35,3,1,0,0,0,0,0,21,9,0,0,0,0,0,0,106,45,14,4,3,0,0,0,20,63,11,2,2,1,0,
