Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
P00890|TX=559292,P00890,"P00890|TX=559292 OS=Yeast S288c GN=CIT1 TA=NM_001183178.1,YNR001C_mRNA PA=NP_014398.1,P00890,YNR001C_mRNA",CIT1,479,OS=Yeast,1,0.9849,2,5,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
P00924|TX=559292,P00924,"P00924|TX=559292 OS=Yeast S288c GN=ENO1 TA=NM_001181383.3,YGR254W_mRNA PA=NP_011770.3,P00924,YGR254W_mRNA",ENO1,437,OS=Yeast,1,0.999,4,25,25,25,0,0,2,4,0,0,0,0,0,1,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,
P00925|TX=559292,P00925,"P00925|TX=559292 OS=Yeast S288c GN=ENO2 TA=NM_001179305.1,YHR174W_mRNA PA=NP_012044.1,YHR174W_mRNA,P00925",ENO2,437,OS=Yeast,1,0.999,20,350,125,350,4,14,21,45,10,1,1,0,4,18,12,26,5,0,2,0,2,14,17,23,6,1,0,0,2,15,14,12,2,0,0,0,2,5,12,22,4,0,2,0,3,3,10,9,6,1,0,0,
P00942|TX=559292,P00942,"P00942|TX=559292 OS=Yeast S288c GN=TPI1,YDR050C TA=NM_001180358.1,YDR050C_mRNA PA=NP_010335.1,YDR050C_mRNA,P00942","TPI1,YDR050C",248,OS=Yeast,1,0.999,7,88,88,88,0,2,2,5,7,5,0,0,0,4,0,1,4,1,0,0,0,4,3,3,5,4,0,0,0,2,3,1,3,3,0,0,0,1,0,1,6,4,0,0,0,0,2,1,5,6,0,0,
P00950|TX=559292,P00950,"P00950|TX=559292 OS=Yeast S288c GN=GPM1,YKL152C TA=NM_001179718.1,YKL152C_mRNA PA=NP_012770.1,P00950,YKL152C_mRNA","GPM1,YKL152C",247,OS=Yeast,1,0.999,8,114,114,114,1,1,3,4,6,8,1,0,1,3,2,2,9,2,2,1,1,2,2,1,3,6,1,0,1,2,2,1,5,4,1,2,1,1,2,2,8,3,0,1,1,1,2,2,2,6,1,1,
P02293|TX=559292,P02293,"P02293|TX=559292 OS=Yeast S288c GN=HTB1 TA=YDR224C_mRNA,NM_001180532.3 PA=NP_010510.3,YDR224C_mRNA,P02293",HTB1,131,OS=Yeast,1,0.9965,5,104,0,104,0,1,2,1,4,2,7,3,0,2,2,3,2,0,10,3,0,2,1,2,2,3,13,1,1,1,2,2,1,0,5,0,1,1,3,3,1,3,7,0,0,0,1,0,1,1,3,1,P02294|TX=559292
P02309|TX=559292,P02309,"P02309|TX=559292 OS=Yeast S288c GN=HHF1,HHF2,YBR009C,YNL030W TA=YBR009C_mRNA,YNL030W_mRNA,NM_001178357.1,NM_001182869.1 PA=YBR009C_mRNA,P02309,YNL030W_mRNA,NP_009563.1,NP_014368.1","HHF1,HHF2,YBR009C,YNL030W",103,OS=Yeast,1,0.9985,6,75,75,75,1,0,0,1,2,2,10,7,1,2,0,2,1,0,7,1,0,0,0,0,0,0,10,0,1,2,0,0,0,0,1,7,0,0,0,4,0,0,4,4,0,0,0,0,0,0,3,2,
P02400|TX=559292,P02400,"P02400|TX=559292 OS=Yeast S288c GN=RPP2B TA=NM_001180690.3,YDR382W_mRNA PA=NP_010670.3,YDR382W_mRNA,P02400",RPP2B,110,OS=Yeast,1,0.999,3,28,28,28,0,0,0,0,2,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,
P02406|TX=559292,P02406,"P02406|TX=559292 OS=Yeast S288c GN=RPL28 TA=NM_001180968.1,YGL103W_mRNA PA=NP_011412.1,YGL103W_mRNA,P02406",RPL28,149,OS=Yeast,1,0.999,3,42,42,42,0,0,0,5,2,1,3,0,0,1,0,0,1,0,3,0,0,0,0,1,3,1,5,0,0,0,0,0,0,2,5,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,0,
P02407|TX=559292,P02407,"P02407|TX=559292 OS=Yeast S288c GN=RPS17A TA=YML024W_mRNA,NM_001182382.1 PA=YML024W_mRNA,P02407,NP_013688.1",RPS17A,136,OS=Yeast,1,0.999,7,111,0,111,0,0,2,3,6,1,8,0,0,3,0,1,5,0,13,0,0,2,2,2,4,2,10,0,0,0,3,0,2,3,13,0,0,0,0,2,3,2,4,0,0,0,0,0,4,3,8,0,P14127|TX=559292
P02557|TX=559292,P02557,"P02557|TX=559292 OS=Yeast S288c GN=TUB2 TA=YFL037W_mRNA,NM_001179929.1 PA=YFL037W_mRNA,P02557,NP_116616.1",TUB2,457,OS=Yeast,1,0.999,10,96,96,96,0,0,1,15,0,0,1,1,0,1,0,11,0,0,0,0,0,0,0,8,2,0,1,0,0,0,2,17,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,8,2,0,0,0,
P02992|TX=559292,P02992,"P02992|TX=559292 OS=Yeast S288c GN=TUF1 TA=NM_001183606.1,YOR187W_mRNA PA=P02992,NP_014830.1,YOR187W_mRNA",TUF1,437,OS=Yeast,1,0.9886,3,9,9,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,
P02994|TX=559292,P02994,"P02994|TX=559292 OS=Yeast S288c GN=TEF2,TEF1 TA=YPR080W_mRNA,NM_001178466.1,YBR118W_mRNA,NM_001184177.1 PA=YPR080W_mRNA,YBR118W_mRNA,NP_009676.1,P02994,NP_015405.1","TEF2,TEF1",458,OS=Yeast,1,0.999,30,825,825,825,6,9,18,128,43,7,9,5,5,16,12,97,29,3,11,5,3,10,15,46,36,8,13,1,4,10,14,19,19,4,6,6,1,3,13,69,20,9,5,3,6,2,9,25,32,8,0,3,
P03871|TX=559292,P03871,P03871|TX=559292 OS=Yeast S288c GN=REP1 ,REP1,373,OS=Yeast,1,0.9838,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
P03872|TX=559292,P03872,P03872|TX=559292 OS=Yeast S288c GN=REP2 ,REP2,296,OS=Yeast,1,0.9978,2,14,14,14,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,
P03965|TX=559292,P03965,"P03965|TX=559292 OS=Yeast S288c GN=CPA2,YJR109C TA=NM_001181767.3,YJR109C_mRNA PA=NP_012643.3,YJR109C_mRNA,P03965","CPA2,YJR109C",1118,OS=Yeast,1,0.9961,3,15,15,15,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,
P04050|TX=559292,P04050,"P04050|TX=559292 OS=Yeast S288c GN=RPO21 TA=NM_001180200.1,YDL140C_mRNA PA=P04050,NP_010141.1,YDL140C_mRNA",RPO21,1733,OS=Yeast,1,0.9936,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
P04147|TX=559292,P04147,"P04147|TX=559292 OS=Yeast S288c GN=PAB1,YER165W TA=YER165W_mRNA,NM_001179055.1 PA=YER165W_mRNA,P04147,NP_011092.1","PAB1,YER165W",577,OS=Yeast,1,0.999,17,77,77,77,0,0,6,16,0,0,0,0,0,2,9,2,0,0,0,0,0,2,3,9,0,0,0,0,0,1,11,3,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,1,0,0,0,0,
P04449|TX=559292,P04449,"P04449|TX=559292 OS=Yeast S288c GN=RPL24A TA=YGL031C_mRNA,NM_001180896.1 PA=YGL031C_mRNA,P04449,NP_011484.1",RPL24A,155,OS=Yeast,1,0.999,3,20,0,20,0,0,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,
P04456|TX=559292,P04456,"P04456|TX=559292 OS=Yeast S288c GN=RPL25 TA=YOL127W_mRNA,NM_001183381.1 PA=YOL127W_mRNA,P04456,NP_014514.1",RPL25,142,OS=Yeast,1,0.999,6,82,82,82,0,1,3,4,5,3,7,0,0,2,1,0,3,0,8,0,0,1,1,0,2,3,8,0,0,2,1,0,2,2,6,0,0,0,0,1,2,2,2,0,0,0,0,0,3,4,3,0,
P04801|TX=559292,P04801,"P04801|TX=559292 OS=Yeast S288c GN=THS1 TA=NM_001179428.3,YIL078W_mRNA PA=P04801,NP_116578.3,YIL078W_mRNA",THS1,734,OS=Yeast,1,0.9976,5,6,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
P04807|TX=559292,P04807,"P04807|TX=559292 OS=Yeast S288c GN=HXK2 TA=YGL253W_mRNA,NM_001181119.1 PA=YGL253W_mRNA,NP_011261.1,P04807",HXK2,486,OS=Yeast,1,0.999,9,75,69,75,12,13,12,14,8,6,3,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P04840|TX=559292,P04840,"P04840|TX=559292 OS=Yeast S288c GN=POR1 TA=YNL055C_mRNA,NM_001182894.1 PA=NP_014343.1,YNL055C_mRNA,P04840",POR1,283,OS=Yeast,1,0.999,12,162,162,162,0,0,1,1,16,15,0,0,0,0,0,0,14,1,0,0,0,0,0,1,13,21,0,0,0,0,0,0,9,14,0,0,0,0,0,0,16,9,0,0,0,0,0,0,14,17,0,0,
P05030|TX=559292,P05030,"P05030|TX=559292 OS=Yeast S288c GN=PMA1 TA=YGL008C_mRNA,NM_001180873.1 PA=P05030,YGL008C_mRNA,NP_011507.1",PMA1,918,OS=Yeast,1,0.999,28,583,154,583,6,12,59,21,9,0,0,0,3,62,12,6,4,0,0,0,9,13,69,6,4,0,0,0,9,27,74,11,8,0,0,0,7,7,56,16,9,0,0,0,18,4,31,5,6,0,0,0,
P05317|TX=559292,P05317,"P05317|TX=559292 OS=Yeast S288c GN=RPP0 TA=NM_001182229.1,YLR340W_mRNA PA=YLR340W_mRNA,NP_013444.1,P05317",RPP0,312,OS=Yeast,1,0.999,10,108,108,108,0,3,3,5,12,0,1,0,0,4,2,3,7,0,0,0,0,2,2,3,12,0,0,0,0,2,5,0,8,0,0,0,0,0,2,5,14,0,0,0,0,0,1,0,12,0,0,0,
P05374|TX=559292,P05374,"P05374|TX=559292 OS=Yeast S288c GN=CHO2 TA=YGR157W_mRNA,NM_001181286.1 PA=YGR157W_mRNA,NP_011673.1,P05374",CHO2,869,OS=Yeast,1,0.999,13,27,23,27,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
P05453|TX=559292,P05453,"P05453|TX=559292 OS=Yeast S288c GN=SUP35 TA=YDR172W_mRNA,NM_001180479.3 PA=YDR172W_mRNA,P05453,NP_010457.3",SUP35,685,OS=Yeast,1,0.9977,11,44,44,44,0,0,7,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,
P05626|TX=559292,P05626,"P05626|TX=559292 OS=Yeast S288c GN=ATP4 TA=NM_001183892.1,YPL078C_mRNA PA=NP_015247.1,P05626,YPL078C_mRNA",ATP4,244,OS=Yeast,1,0.9987,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,
P05694|TX=559292,P05694,"P05694|TX=559292 OS=Yeast S288c GN=MET6,YER091C TA=NM_001178982.3,YER091C_mRNA PA=YER091C_mRNA,NP_011015.3,P05694","MET6,YER091C",767,OS=Yeast,1,0.9974,3,7,7,7,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
P05737|TX=559292,P05737,"P05737|TX=559292 OS=Yeast S288c GN=RPL7A TA=YGL076C_mRNA,NM_001180941.1 PA=P05737,YGL076C_mRNA,NP_011439.1",RPL7A,244,OS=Yeast,1,0.999,12,112,17,112,0,0,5,8,4,10,0,0,0,4,3,4,5,3,0,0,0,3,1,4,3,5,0,0,0,3,3,0,2,7,0,0,0,0,3,3,4,10,0,0,0,0,2,0,2,11,0,0,
P05738|TX=559292,P05738,"P05738|TX=559292 OS=Yeast S288c GN=RPL9A TA=YGL147C_mRNA,NM_001181012.3 PA=NP_011368.3,P05738,YGL147C_mRNA",RPL9A,191,OS=Yeast,1,0.999,5,81,0,81,1,2,2,2,5,8,1,0,0,4,1,1,3,2,1,0,0,2,3,1,3,5,3,0,0,1,2,1,1,5,0,0,0,0,2,1,1,6,0,0,0,0,2,1,3,5,0,0,P51401|TX=559292
P05739|TX=559292,P05739,"P05739|TX=559292 OS=Yeast S288c GN=RPL6B TA=NM_001182336.1,YLR448W_mRNA PA=P05739,NP_013553.1,YLR448W_mRNA",RPL6B,176,OS=Yeast,1,0.9986,11,141,16,141,0,3,3,4,8,14,2,0,0,4,2,3,5,7,1,0,0,2,3,3,3,14,1,0,0,2,2,1,3,6,3,0,0,0,0,2,5,11,0,0,0,0,2,1,2,18,1,0,
P05740|TX=559292,P05740,"P05740|TX=559292 OS=Yeast S288c GN=RPL17A TA=YKL180W_mRNA,NM_001179746.1 PA=YKL180W_mRNA,NP_012741.1,P05740",RPL17A,184,OS=Yeast,1,0.999,7,77,1,77,0,1,1,3,3,12,2,0,0,1,1,0,1,4,0,0,0,1,1,0,1,7,3,0,0,1,1,0,0,6,1,0,0,0,1,0,1,9,1,0,0,0,1,0,1,11,1,0,
P05743|TX=559292,P05743,"P05743|TX=559292 OS=Yeast S288c GN=RPL26A TA=NM_001182233.1,YLR344W_mRNA PA=YLR344W_mRNA,NP_013448.1,P05743",RPL26A,127,OS=Yeast,1,0.9948,2,13,13,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,
P05744|TX=559292,P05744,"P05744|TX=559292 OS=Yeast S288c GN=RPL33A TA=YPL143W_mRNA,NM_001183957.1 PA=YPL143W_mRNA,P05744,NP_015182.1",RPL33A,107,OS=Yeast,1,0.9988,6,64,5,64,0,0,5,2,3,4,7,0,0,3,1,1,1,0,8,0,0,0,1,0,3,1,5,0,0,0,1,0,0,1,4,3,0,0,0,1,1,0,6,0,0,0,0,0,1,0,1,0,
P05750|TX=559292,P05750,"P05750|TX=559292 OS=Yeast S288c GN=RPS3 TA=YNL178W_mRNA,NM_001183016.3 PA=YNL178W_mRNA,NP_014221.3,P05750",RPS3,240,OS=Yeast,1,0.999,16,206,206,206,0,1,12,16,21,0,0,0,0,8,2,9,24,0,0,0,0,5,7,6,18,0,0,0,0,2,5,2,13,1,0,0,0,1,2,13,18,0,0,0,0,0,3,1,15,1,0,0,
P05755|TX=559292,P05755,"P05755|TX=559292 OS=Yeast S288c GN=RPS9B TA=YBR189W_mRNA,NM_001178537.3 PA=P05755,YBR189W_mRNA,NP_009748.3",RPS9B,195,OS=Yeast,1,0.999,14,159,10,159,0,0,9,10,13,18,1,1,0,5,2,2,7,4,0,0,0,2,4,3,7,17,2,0,0,1,1,0,3,6,1,0,0,0,1,4,7,12,0,0,0,0,0,0,5,11,0,0,
P05756|TX=559292,P05756,"P05756|TX=559292 OS=Yeast S288c GN=RPS13 TA=YDR064W_mRNA,NM_001180372.3 PA=NP_010349.3,YDR064W_mRNA,P05756",RPS13,151,OS=Yeast,1,0.9989,5,71,71,71,0,0,4,5,6,3,4,0,0,3,0,1,1,0,6,0,0,0,1,1,1,1,5,0,0,2,2,0,1,1,4,0,0,0,0,3,4,2,3,0,0,0,0,0,2,4,1,0,
P05759|TX=559292,P05759,"P05759|TX=559292 OS=Yeast S288c GN=RPS31 TA=NM_001182054.1,YLR167W_mRNA PA=P05759,YLR167W_mRNA,NP_013268.1",RPS31,152,OS=Yeast,1,0.999,8,101,11,101,1,2,4,6,5,1,6,1,1,3,5,1,1,1,5,5,1,3,1,2,4,1,2,1,2,3,2,2,1,2,3,2,2,1,1,1,1,2,0,1,2,2,2,1,1,2,2,0,
P06103|TX=559292,P06103,"P06103|TX=559292 OS=Yeast S288c GN=PRT1 TA=YOR361C_mRNA,NM_001183781.3 PA=P06103,NP_015006.3,YOR361C_mRNA",PRT1,763,OS=Yeast,1,0.9988,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P06168|TX=559292,P06168,"P06168|TX=559292 OS=Yeast S288c GN=YLR355C,ILV5 TA=YLR355C_mRNA,NM_001182244.1 PA=YLR355C_mRNA,NP_013459.1,P06168","YLR355C,ILV5",395,OS=Yeast,1,0.9968,3,27,27,27,0,0,2,6,6,0,0,0,0,1,0,2,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
P06169|TX=559292,P06169,"P06169|TX=559292 OS=Yeast S288c GN=PDC1,YLR044C TA=YLR044C_mRNA,NM_001181931.1 PA=YLR044C_mRNA,NP_013145.1,P06169","PDC1,YLR044C",563,OS=Yeast,1,0.999,17,362,313,362,5,10,21,31,15,0,2,0,1,23,17,16,8,0,2,0,5,16,19,21,12,0,1,0,5,12,14,16,6,0,0,0,4,2,11,15,11,0,2,0,7,4,11,8,9,0,0,0,
P06634|TX=559292,P06634,"P06634|TX=559292 OS=Yeast S288c GN=DED1 TA=YOR204W_mRNA,NM_001183623.3 PA=YOR204W_mRNA,NP_014847.3,P06634",DED1,604,OS=Yeast,1,0.999,20,159,115,159,0,0,23,18,1,0,0,0,0,0,28,6,1,0,0,0,0,1,20,7,1,0,0,0,0,0,27,2,0,0,0,0,0,0,17,6,0,0,0,0,1,0,0,0,0,0,0,0,
P06775|TX=559292,P06775,"P06775|TX=559292 OS=Yeast S288c GN=YGR191W,HIP1 TA=YGR191W_mRNA,NM_001181320.1 PA=NP_011707.1,YGR191W_mRNA,P06775","YGR191W,HIP1",603,OS=Yeast,1,0.9971,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
P06780|TX=559292,P06780,"P06780|TX=559292 OS=Yeast S288c GN=YPR165W,RHO1 TA=YPR165W_mRNA,NM_001184262.1 PA=NP_015491.1,YPR165W_mRNA,P06780","YPR165W,RHO1",209,OS=Yeast,1,0.9807,3,12,12,12,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,
P07149|TX=559292,P07149,"P07149|TX=559292 OS=Yeast S288c GN=YKL182W,FAS1 TA=NM_001179748.1,YKL182W_mRNA PA=YKL182W_mRNA,NP_012739.1,P07149","YKL182W,FAS1",2051,OS=Yeast,1,0.999,12,36,36,36,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,
P07170|TX=559292,P07170,"P07170|TX=559292 OS=Yeast S288c GN=ADK1 TA=NM_001180534.1,YDR226W_mRNA PA=YDR226W_mRNA,P07170,NP_010512.1",ADK1,222,OS=Yeast,1,0.997,2,9,9,9,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
P07244|TX=559292,P07244,"P07244|TX=559292 OS=Yeast S288c GN=ADE5,7,YGL234W TA=NM_001181100.1,YGL234W_mRNA PA=NP_011280.1,YGL234W_mRNA,P07244","ADE5,7,YGL234W",802,OS=Yeast,1,0.999,15,37,37,37,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,
P07251|TX=559292,P07251,"P07251|TX=559292 OS=Yeast S288c GN=ATP1,YBL099W TA=YBL099W_mRNA,NM_001178339.2 PA=P07251,NP_009453.2,YBL099W_mRNA","ATP1,YBL099W",545,OS=Yeast,1,0.999,13,116,116,116,0,1,5,16,1,0,0,0,0,6,1,16,3,0,0,0,0,1,4,11,0,0,2,0,0,3,1,9,3,1,0,0,1,0,3,12,1,2,1,0,0,0,2,7,1,2,0,0,
