well_ID,sample,background,rep_ID,condition,smudge,control
C7,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
C8,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
C9,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
C10,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
C11,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
C12,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
D1,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
D2,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
D3,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
D4,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
D5,BY4741,BY4741,,YPD (pH 5.0),,
D6,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
D7,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
D8,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
D9,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
D10,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
D11,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
D12,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
E1,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E2,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E3,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E4,BY4741,BY4741,,YPD (pH 5.0),,
E5,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
E6,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E7,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
E8,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
E9,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
E10,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
E11,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
E12,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
F1,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
F2,BY4741,BY4741,,YPD (pH 5.0),,
F3,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
F4,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
F5,BY4741,BY4741,,YPD (pH 5.0),,
F6,BY4741,BY4741,,YPD (pH 5.0),,
F7,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
F8,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
F9,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
F10,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
F11,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
F12,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
G1,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G2,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
G3,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G4,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
G5,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G6,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G7,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
G8,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
G9,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
G10,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
G11,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
G12,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
H1,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
H2,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
H3,BY4741,BY4741,,YPD (pH 5.0),,
H4,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
H5,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
H6,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
H7,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
H8,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
H9,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
H10,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
H11,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
H12,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
