"orf_name","log10p","fdr","lfc","contrast","batch","background","comparison","DE","SGD","ENTREZID","GENENAME","ENSEMBL","DESCRIPTION"
"YLR255C",-12.9626079743272,2.02088125218412e-11,-1.30889913572722,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000004245","850957",NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YLR303W",-2.50234006618469,0.0302954891671695,-1.1808763733589,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000004294","851010","MET17","YLR303W","O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis"
"YLR410W-A",-102.090000127148,9.0427368448953e-100,-1.44269469670522,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000007379","851127",NA,NA,"Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"
"YLR410W-B",-64.5594276746614,2.62981716284272e-62,-1.3849674455419,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000007380","851128",NA,NA,"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"
"YOL013W-A",-2.30966423138761,0.0421081362818864,-1.32526743837936,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000028811","854147",NA,"YOL013W-A","Putative protein of unknown function; identified by SAGE"
"YOL058W",-28.9705537246612,7.1432778877677e-27,1.06029684074075,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Up","S000005419","854096","ARG1","YOL058W","Arginosuccinate synthetase; catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate"
"YOL152W",-297.856304915618,0,-2.58655376631847,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000005512","854013","FRE7","YOL152W","Putative ferric reductase with similarity to Fre2p; expression induced by low copper levels"
"YPL187W",-24.3638032305822,2.40694847431134e-22,-1.51186223932354,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000006108","855914","MF(ALPHA)1","YPL187W","Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions"
"YPR123C",-297.856304915618,0,-2.93979576805784,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000006327",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF CTR"
"YPR124W",-297.856304915618,3.0975983172402e-295,-2.80709410765258,"YBR3_BY4741_DEL_vs_YBR3_BY4741_WT","YBR3","BY4741","DEL_vs_WT","Down","S000006328","856241","CTR1","YPR124W","High-affinity copper transporter of plasma membrane; mediates nearly all copper uptake under low copper conditions; transcriptionally induced at low copper levels and degraded at high copper levels; protein increases in abundance and relocalizes from nucleus to plasma membrane upon DNA replication stress; human homolog SLC31A1 can complement a yeast ctr1 ctr3 double deletion"
