"ORF","baseMean","log2FoldChange","lfcSE","pvalue","padj","orf_name","contrast","DE","SGD","DESCRIPTION"
"YBL081W",146.917164772988,-1.89736247811654,0.214099055218532,4.79189936922353e-20,5.73485077919006e-19,"YBL081W","CRISPY.ATG_vs_WT","down-regulated","S000000177","Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport"
"YBL107W-A",14.4995915127152,1.22638245461786,0.611856357488017,0.00228270555111199,0.00639348217037634,"YBL107W-A","KAN_vs_WT","up-regulated","S000007229","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the Ty2 LTR YBLWdelta2; YBL107W-A has a paralog, YER138W-A, that arose from a single-locus duplication"
"YBL108C-A",1827.86334728799,3.73551395692356,0.179945310746024,6.87950805529767e-97,6.21023020020371e-95,"YBL108C-A","KAN_vs_WT","up-regulated","S000007592","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"
"YBL108C-A",1827.86334728799,-1.19710871636919,0.190844239021174,2.59872955081375e-11,1.77145329359138e-10,"YBL108C-A","CRISPY.ATG_vs_WT","down-regulated","S000007592","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"
"YBL108C-A",1827.86334728799,-1.40549588354879,0.193809002893907,2.16122199056774e-14,3.54732463478863e-12,"YBL108C-A","CRISPY_vs_WT","down-regulated","S000007592","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"
"YBR021W",1910.14737769024,-1.08656991038735,0.0908624269399139,5.35265353015506e-34,1.17036047256228e-32,"YBR021W","CRISPY.ATG_vs_WT","down-regulated","S000000225","Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation"
"YBR023C",3604.39992745401,1.05996202443164,0.0539890919217977,1.22611400654406e-86,8.80433455380903e-85,"YBR023C","KAN_vs_WT","up-regulated","S000000227","Chitin synthase III; catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for synthesis of the majority of cell wall chitin, the chitin ring during bud emergence, and spore wall chitosan; contains overlapping di-leucine and di-acidic signals that mediate, respectively, intracellular trafficking by AP-1 and trafficking to plasma membrane by exomer complex; requires AP-3 complex for its intracellular retention"
"YBR031W",12781.2717845468,-1.02541959369352,0.0681617786841497,3.3758363183115e-52,1.37625223841357e-50,"YBR031W","CRISPY.ATG_vs_WT","down-regulated","S000000235","Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication"
"YBR045C",529.03661726699,1.02008072221188,0.0992332002336416,7.12649972417235e-26,1.16062762260425e-24,"YBR045C","KAN_vs_WT","up-regulated","S000000249","Meiosis-specific regulatory subunit of the Glc7p protein phosphatase; regulates spore wall formation and septin organization, required for expression of some late meiotic genes and for normal localization of Glc7p"
"YBR054W",5524.29900945604,-1.28418104467499,0.0547406213920819,7.33845243468863e-123,1.03048179855105e-120,"YBR054W","KAN_vs_WT","down-regulated","S000000258","Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies"
"YBR056W-A",36.6995196150916,1.18596683447734,0.431730114035737,0.000344888414763163,0.00103188915382975,"YBR056W-A","CRISPY.ATG_vs_WT","up-regulated","S000028736","Protein of unknown function; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog, YDR034W-B, that arose from the whole genome duplication"
"YBR056W-A",36.6995196150916,1.65641397721205,0.415230879562781,3.92590109779127e-06,1.76904470498702e-05,"YBR056W-A","KAN_vs_WT","up-regulated","S000028736","Protein of unknown function; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog, YDR034W-B, that arose from the whole genome duplication"
"YBR072W",34077.8158269859,2.22233510086203,0.0566271790396789,0,0,"YBR072W","CRISPY.ATG_vs_WT","up-regulated","S000000276","Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity"
"YBR092C",2054.0209464367,-1.12024221280831,0.059269333983531,1.09982160141831e-80,7.09160479526764e-79,"YBR092C","KAN_vs_WT","down-regulated","S000000296","Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin"
"YBR117C",1701.64576459812,-1.10858564101554,0.0737477303462833,4.75919655672835e-52,1.62558719145764e-50,"YBR117C","KAN_vs_WT","down-regulated","S000000321","Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication"
"YBR117C",1701.64576459812,1.07142520434138,0.0672604380810584,3.6073559278911e-58,1.80911762764634e-56,"YBR117C","CRISPY.ATG_vs_WT","up-regulated","S000000321","Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication"
"YBR142W",1005.53324185381,-1.2527263303598,0.0978202885390936,1.33712139248322e-38,3.49143391698409e-37,"YBR142W","KAN_vs_WT","down-regulated","S000000346","Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits"
"YBR145W",1816.13261810515,1.31877272452778,0.0821095794056272,4.07403010519757e-59,1.66089007966087e-57,"YBR145W","KAN_vs_WT","up-regulated","S000000349","Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication"
"YBR196C",32937.2469371563,-3.4794470235281,0.0572588527881717,0,0,"YBR196C","KAN_vs_WT","down-regulated","S000000400","Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation"
"YBR196C",32937.2469371563,1.03877004411654,0.0551580513845876,4.95869473207067e-80,1.50570765539326e-76,"YBR196C","CRISPY_vs_WT","up-regulated","S000000400","Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation"
"YBR196C-A",14.1680706567951,-5.61669899206172,1.34398306271208,1.45497873175322e-06,4.67517769203032e-05,"YBR196C-A","CRISPY_vs_WT","down-regulated","S000028534","Putative protein of unknown function; identified by fungal homology and RT-PCR"
"YBR196C-A",14.1680706567951,-7.46629741217408,2.64660014443008,3.71816238487376e-08,2.1243280388804e-07,"YBR196C-A","KAN_vs_WT","down-regulated","S000028534","Putative protein of unknown function; identified by fungal homology and RT-PCR"
"YBR203W",1743.77990007441,1.07377337590294,0.0617757318331205,1.10662683950871e-68,5.46310546785587e-67,"YBR203W","KAN_vs_WT","up-regulated","S000000407","Protein required for antifungal drug ciclopirox olamine resistance; not related to the subtelomerically-encoded COS family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"YBR226C",59.902825252804,1.06640858132787,0.296460676100291,2.7570314273955e-05,0.000111036848882805,"YBR226C","KAN_vs_WT","up-regulated","S000000430","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR225W"
"YBR238C",3088.55995854431,-1.10922177752464,0.0630904893851646,2.86274529644291e-70,2.31919070874651e-68,"YBR238C","CRISPY.ATG_vs_WT","down-regulated","S000000442","Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication"
"YBR240C",468.291957840343,1.28764429298008,0.123880690791785,1.94306971569746e-26,3.11630901865285e-25,"YBR240C","CRISPY.ATG_vs_WT","up-regulated","S000000444","Transcriptional activator of thiamine biosynthetic genes; interacts with regulatory factor Thi3p to control expression of thiamine biosynthetic genes with respect to thiamine availability; acts together with Pdc2p to respond to thiaminediphosphate demand, possibly as related to carbon source availability; zinc finger protein of the Zn(II)2Cys6 type"
"YBR267W",334.793318510656,-1.24057824474034,0.121582757484874,2.5802833700057e-25,4.12780015571292e-24,"YBR267W","KAN_vs_WT","down-regulated","S000000471","Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network"
"YBR301W",4838.56251163903,3.68188836929046,0.0626648909862643,0,0,"YBR301W","KAN_vs_WT","up-regulated","S000000505","Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth"
"YCL030C",10198.5123591054,1.4488381967847,0.0436094731917324,3.41265405275287e-243,1.07822804796727e-240,"YCL030C","KAN_vs_WT","up-regulated","S000000535","Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis"
"YCL054W",985.104762344238,-1.39677245097936,0.0920511548479685,4.17718574209836e-53,1.46642426135108e-51,"YCL054W","KAN_vs_WT","down-regulated","S000000559","AdoMet-dependent methyltransferase; involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants"
"YCL064C",192.57626661172,-1.08750610213798,0.176529042734846,5.99973362879802e-11,3.949458458514e-10,"YCL064C","CRISPY.ATG_vs_WT","down-regulated","S000000569","Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine"
"YCL064C",192.57626661172,-1.42298809588079,0.183009885686321,5.73044302127961e-16,5.94592273423085e-15,"YCL064C","KAN_vs_WT","down-regulated","S000000569","Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine"
"YCR007C",669.845585296609,1.12969641367257,0.119667787848024,3.11577214576882e-22,4.12758159100905e-21,"YCR007C","CRISPY.ATG_vs_WT","up-regulated","S000000600","Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene"
"YCR021C",7331.14798850042,1.03674679527458,0.138427179012959,5.91268082274064e-15,5.27715114673702e-14,"YCR021C","CRISPY.ATG_vs_WT","up-regulated","S000000615","Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase"
"YCR034W",1086.54611959181,-1.09075750914365,0.0840260363093025,1.38517127706871e-39,3.75660828317475e-38,"YCR034W","CRISPY.ATG_vs_WT","down-regulated","S000000630","Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway; ELO2 has a paralog, ELO1, that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7"
"YCR047C",725.411168718937,-1.43403307869004,0.13559347697513,2.82856654452692e-27,4.87022125200698e-26,"YCR047C","KAN_vs_WT","down-regulated","S000000643","Methyltransferase that methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern; functional homolog of human WBSCR22"
"YCR049C",6.35882982531884,-2.8865960755821,1.37851458230359,0.00265923430970135,0.00733786096200998,"YCR049C","KAN_vs_WT","down-regulated","S000000645","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YCR057C",1985.40729991582,-1.40542730189045,0.0665947236144859,5.47782324954334e-100,5.32528694059451e-98,"YCR057C","KAN_vs_WT","down-regulated","S000000653","Conserved 90S pre-ribosomal component; essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis"
"YCR072C",501.20740537829,-1.59540130861155,0.112612302316313,1.13522043017337e-46,3.56888452650027e-45,"YCR072C","KAN_vs_WT","down-regulated","S000000668","WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus"
"YCR084C",1781.03021348677,-1.11698617693816,0.0777942510992517,7.65044100456186e-48,2.68572981710147e-46,"YCR084C","CRISPY.ATG_vs_WT","down-regulated","S000000680","General repressor of transcription; forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes"
"YDL022C-A",66.4219731093089,1.11211096244526,0.280070362152098,5.29797965553923e-06,2.13078137531621e-05,"YDL022C-A","CRISPY.ATG_vs_WT","up-regulated","S000028537","Protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cytosol; partially overlaps the verified gene DIA3; identified by fungal homology and RT-PCR; mRNA identified as translated by ribosome profiling data"
"YDL031W",2050.00002321587,-1.02601176743652,0.0670901853286288,8.95727463378242e-54,3.1977976503317e-52,"YDL031W","KAN_vs_WT","down-regulated","S000002189","Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis"
"YDL037C",238.130510088154,-1.19907937322078,0.160838588340763,7.82717778315017e-15,7.60922098641937e-14,"YDL037C","KAN_vs_WT","down-regulated","S000002195","Protein of unconfirmed function; similar to cell surface flocculin Flo11p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the gene IMI1"
"YDL039C",582.565460142458,-1.05942723064928,0.0969433569308803,7.9983451674402e-29,1.43177175957662e-27,"YDL039C","CRISPY.ATG_vs_WT","down-regulated","S000002197","Pheromone-regulated protein; predicted to have one transmembrane segment; promoter contains Gcn4p binding elements; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the IMI1"
"YDL060W",1477.21548470605,-1.11465581335869,0.072831534407872,6.72466632787212e-54,2.41438446169454e-52,"YDL060W","KAN_vs_WT","down-regulated","S000002218","Protein required for processing of 20S pre-rRNA in the cytoplasm; associates with pre-40S ribosomal particles; inhibits the premature association of 60S subunits with assembling 40S subunits in the cytoplasm; similar to Bms1p; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"YDL082W",7109.34405254046,-1.0465185168332,0.0486154409405096,5.70274207954298e-104,1.501484466693e-101,"YDL082W","CRISPY.ATG_vs_WT","down-regulated","S000002240","Ribosomal 60S subunit protein L13A; not essential for viability; homologous to mammalian ribosomal protein L13, no bacterial homolog; RPL13A has a paralog, RPL13B, that arose from the whole genome duplication"
"YDL085W",559.749391495114,1.39885312280672,0.104344126185085,4.37506386986404e-42,1.22871238194093e-40,"YDL085W","CRISPY.ATG_vs_WT","up-regulated","S000002243","Mitochondrial external NADH dehydrogenase; catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain; NDE2 has a paralog, NDE1, that arose from the whole genome duplication"
"YDL114W",96.1432713389863,1.22667899884169,0.226357737674298,5.07936090793285e-09,3.14671388012036e-08,"YDL114W","KAN_vs_WT","up-regulated","S000002272","Putative short-chain dehydrogenase/reductase; YDL114W is not an essential gene"
"YDL141W",2352.59513192489,-1.16432701283199,0.0652793972108713,3.54794076663334e-72,1.94951632211792e-70,"YDL141W","KAN_vs_WT","down-regulated","S000002300","Biotin:apoprotein ligase; covalently modifies proteins with the addition of biotin, required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon; human homolog HLCS can complement yeast BPL1 mutant"
"YDL148C",1379.38781518578,-1.42086461944296,0.0798190390497049,4.4039418414409e-72,2.39900935310906e-70,"YDL148C","KAN_vs_WT","down-regulated","S000002307","Nucleolar protein; forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA"
"YDL153C",843.378026307206,-1.47053584218157,0.120796823092114,3.09616748397311e-35,7.19289791589195e-34,"YDL153C","KAN_vs_WT","down-regulated","S000002312","Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit; disrupts silencing when overproduced; mutant has increased aneuploidy tolerance; essential gene"
"YDL159W-A",29.2084014852074,1.17442385777761,0.613546847536011,0.00277990648525025,0.00764081299708409,"YDL159W-A","KAN_vs_WT","up-regulated","S000007599","Putative protein of unknown function; identified by sequence comparison with hemiascomycetous yeast species"
"YDL159W-A",29.2084014852074,1.4774623955263,0.583554905994443,0.000508616497007755,0.00146688619105066,"YDL159W-A","CRISPY.ATG_vs_WT","up-regulated","S000007599","Putative protein of unknown function; identified by sequence comparison with hemiascomycetous yeast species"
"YDL167C",797.152928378973,-1.12115409532992,0.107201670894721,1.30478351782178e-26,2.18119763204122e-25,"YDL167C","KAN_vs_WT","down-regulated","S000002326","Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in ribosome biogenesis"
"YDL241W",107.749925687961,1.24157236305671,0.211375762109648,3.56311736775706e-10,2.45265126872079e-09,"YDL241W","KAN_vs_WT","up-regulated","S000002400","Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YDL241W is not an essential gene"
"YDR012W",6097.15684107629,-1.05701665137102,0.0765861747891231,2.18585663780044e-44,6.70506218168009e-43,"YDR012W","CRISPY.ATG_vs_WT","down-regulated","S000002419","Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication"
"YDR030C",454.049204718366,1.02540066863378,0.130781326470225,4.14330390084241e-16,3.96689959839745e-15,"YDR030C","CRISPY.ATG_vs_WT","up-regulated","S000002437","Protein involved in DNA repair; related to the human CSA protein that is involved in transcription-coupled repair nucleotide excision repair"
