"gene2","gene1","row","column","cor","num_obs","Gene_1","Gene_2"
"YLR176C","YDR170C","chr4_796193","chr12_507797",0.713526781459011,3916,"SEC7","RFX1"
"YLR176C","YDR141C","chr4_734901","chr12_507797",0.703121520101043,3916,"DOP1","RFX1"
"YNL068C","YDR170C","chr4_796193","chr14_495701",0.735482064538634,3916,"SEC7","FKH2"
"YNL068C","YBR049C","chr2_334386","chr14_495701",0.806932067395253,3916,"REB1","FKH2"
"YNL068C","YGL073W","chr7_368753","chr14_495701",0.723916790885226,3914,"HSF1","FKH2"
"YNL068C","YJR060W","chr10_548759","chr14_495701",0.714542280147339,3915,"CBF1","FKH2"
"YNL068C","YIL131C","chr9_100781","chr14_495701",0.737743302647207,3916,"FKH1","FKH2"
"YNL068C","YKL112W","chr11_226570","chr14_495701",0.764904249251445,3916,"ABF1","FKH2"
"YNL068C","YLR176C","chr12_507797","chr14_495701",0.715377233989977,3916,"RFX1","FKH2"
"YNL068C","YDR463W","chr4_1386642","chr14_495701",0.735433216322126,3916,"STP1","FKH2"
"YNL068C","YHR027C","chr8_161730","chr14_495701",0.751991318018082,3916,"RPN1","FKH2"
"YNL216W","YDR170C","chr4_796193","chr14_241689",0.733149637324592,3916,"SEC7","RAP1"
"YNL216W","YBR049C","chr2_334386","chr14_241689",0.861516974985295,3916,"REB1","RAP1"
"YNL216W","YDR238C","chr4_937895","chr14_241689",0.79617013420175,3916,"SEC26","RAP1"
"YNL216W","YNL068C","chr14_495701","chr14_241689",0.810188162342209,3916,"FKH2","RAP1"
"YNL216W","YHR027C","chr8_161730","chr14_241689",0.798380908567467,3916,"RPN1","RAP1"
"YNL216W","YIL131C","chr9_100781","chr14_241689",0.758381432610077,3916,"FKH1","RAP1"
"YNL216W","YDR395W","chr4_1263324","chr14_241689",0.713291445596206,3916,"SXM1","RAP1"
"YNL216W","YKL112W","chr11_226570","chr14_241689",0.787586608443941,3916,"ABF1","RAP1"
"YPL075W","YDR170C","chr4_796193","chr16_412254",0.720678953598075,3916,"SEC7","GCR1"
"YPL075W","YDR238C","chr4_937895","chr16_412254",0.743683299748051,3916,"SEC26","GCR1"
"YPL075W","YHR027C","chr8_161730","chr16_412254",0.750817458506492,3916,"RPN1","GCR1"
"YPL075W","YDR141C","chr4_734901","chr16_412254",0.709473105774367,3916,"DOP1","GCR1"
