"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","min_peps","min_prob","min_crap_expt","GO"
"BP","GO:0006811","ion transport",0.188405797101449,0.0648676699532953,0.000403950752746725,0.0194355176914278,0.0165954796371394,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YLR447C/YMR241W/YPR058W/YKL126W",13,1,80,3,"BP_ion transport"
"BP","GO:0006886","intracellular protein transport",0.188405797101449,0.0759384189586577,0.00176828499648246,0.0374597216360101,0.0319858754211371,"YDL100C/YHR108W/YHR005C/YDL022W/YPL249C/YNL297C/YDR335W/YKR082W/YML103C/YMR235C/YBL050W/YLR378C/YDR002W",13,1,80,3,"BP_intracellular protein transport"
"MF","GO:0015075","ion transmembrane transporter activity",0.173913043478261,0.0464632454923717,6.50072888432605e-05,0.00417617401581333,0.00289326771235188,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YLR447C/YMR241W/YPR058W",12,1,80,3,"MF_ion transmembrane transporter activity"
"BP","GO:0034220","ion transmembrane transport",0.173913043478261,0.0422072305829441,2.52087799392832e-05,0.0101465339255615,0.00866385963176416,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YLR447C/YMR241W/YPR058W",12,1,80,3,"BP_ion transmembrane transport"
"MF","GO:0017111","nucleoside-triphosphatase activity",0.173913043478261,0.0719486823855756,0.00336324891807938,0.0286607299105895,0.0198562521936952,"YBR039W/YDL100C/YHR005C/YGL201C/YLR188W/YJR072C/YBR025C/YPL058C/YBR080C/YOR165W/YEL031W/YLR447C",12,1,80,3,"MF_nucleoside-triphosphatase activity"
"MF","GO:0016462","pyrophosphatase activity",0.173913043478261,0.0759361997226075,0.00520658811259666,0.0351893541403085,0.0243793054999989,"YBR039W/YDL100C/YHR005C/YGL201C/YLR188W/YJR072C/YBR025C/YPL058C/YBR080C/YOR165W/YEL031W/YLR447C",12,1,80,3,"MF_pyrophosphatase activity"
"MF","GO:0016817","hydrolase activity, acting on acid anhydrides",0.173913043478261,0.0759361997226075,0.00520658811259666,0.0351893541403085,0.0243793054999989,"YBR039W/YDL100C/YHR005C/YGL201C/YLR188W/YJR072C/YBR025C/YPL058C/YBR080C/YOR165W/YEL031W/YLR447C",12,1,80,3,"MF_hydrolase activity, acting on acid anhydrides"
"MF","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",0.173913043478261,0.0759361997226075,0.00520658811259666,0.0351893541403085,0.0243793054999989,"YBR039W/YDL100C/YHR005C/YGL201C/YLR188W/YJR072C/YBR025C/YPL058C/YBR080C/YOR165W/YEL031W/YLR447C",12,1,80,3,"MF_hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
"BP","GO:0050790","regulation of catalytic activity",0.173913043478261,0.068327279017471,0.00218842651977417,0.041944841629005,0.0358156019401638,"YCR093W/YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YGR233C/YMR235C/YBL050W/YKL010C/YKL126W/YDR002W",12,1,80,3,"BP_regulation of catalytic activity"
"MF","GO:0015318","inorganic molecular entity transmembrane transporter activity",0.159420289855072,0.0435159500693481,0.000164666525876648,0.00461066272454614,0.00319428298317107,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YNR013C/YEL031W/YBR069C/YLR447C/YMR241W/YPR058W",11,1,80,3,"MF_inorganic molecular entity transmembrane transporter activity"
"BP","GO:0006812","cation transport",0.159420289855072,0.0344231101885487,1.93266515637911e-05,0.0101465339255615,0.00866385963176416,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YNR013C/YEL031W/YBR069C/YPR156C/YLR447C/YPR058W",11,1,80,3,"BP_cation transport"
"MF","GO:0008324","cation transmembrane transporter activity",0.144927536231884,0.0324202496532594,6.49704971958129e-05,0.00417617401581333,0.00289326771235188,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YEL031W/YBR069C/YPR156C/YLR447C/YPR058W",10,1,80,3,"MF_cation transmembrane transporter activity"
"MF","GO:0016887","ATPase activity",0.144927536231884,0.0514909847434119,0.00255900927438582,0.0263049540198394,0.0182241625593947,"YBR039W/YDL100C/YGL201C/YLR188W/YJR072C/YBR025C/YPL058C/YBR080C/YEL031W/YLR447C",10,1,80,3,"MF_ATPase activity"
"MF","GO:0098772","molecular function regulator",0.144927536231884,0.0551317614424411,0.0041920183556683,0.0328654239084395,0.0227692786476299,"YCR093W/YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YGR233C/YMR235C/YBL050W/YDR002W",10,1,80,3,"MF_molecular function regulator"
"MF","GO:0016491","oxidoreductase activity",0.144927536231884,0.0596393897364771,0.00726042727084613,0.0444701170339326,0.0308090499322089,"YGL148W/YGR175C/YLR056W/YMR015C/YHR190W/YDL022W/YML120C/YGL055W/YER023W/YJL026W",10,1,80,3,"MF_oxidoreductase activity"
"MF","GO:0022804","active transmembrane transporter activity",0.130434782608696,0.0284327323162275,0.000127842061708571,0.00417617401581333,0.00289326771235188,"YBR039W/YLR188W/YPL058C/YNR013C/YLR378C/YEL031W/YPR156C/YLR447C/YMR241W",9,1,80,3,"MF_active transmembrane transporter activity"
"BP","GO:0051345","positive regulation of hydrolase activity",0.130434782608696,0.0262930288877357,6.9797303431646e-05,0.014314602353059,0.0122228641210167,"YCR093W/YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YMR235C/YBL050W/YDR002W",9,1,80,3,"BP_positive regulation of hydrolase activity"
"BP","GO:0098655","cation transmembrane transport",0.130434782608696,0.027676872513406,0.00010393836364615,0.0147726001345002,0.0126139364339047,"YBR039W/YLR220W/YER145C/YDR508C/YGR191W/YEL031W/YPR156C/YLR447C/YPR058W",9,1,80,3,"BP_cation transmembrane transport"
"BP","GO:0006913","nucleocytoplasmic transport",0.130434782608696,0.0299256184051202,0.000188909443658175,0.0168969002383145,0.0144278206676945,"YHR005C/YDR335W/YJR072C/YKR082W/YML103C/YJL039C/YMR235C/YDR457W/YDR002W",9,1,80,3,"BP_nucleocytoplasmic transport"
"BP","GO:0051169","nuclear transport",0.130434782608696,0.0299256184051202,0.000188909443658175,0.0168969002383145,0.0144278206676945,"YHR005C/YDR335W/YJR072C/YKR082W/YML103C/YJL039C/YMR235C/YDR457W/YDR002W",9,1,80,3,"BP_nuclear transport"
"BP","GO:0051336","regulation of hydrolase activity",0.130434782608696,0.0307905206711642,0.000234247787860121,0.0171426790206725,0.0146376847342257,"YCR093W/YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YMR235C/YBL050W/YDR002W",9,1,80,3,"BP_regulation of hydrolase activity"
"BP","GO:0043085","positive regulation of catalytic activity",0.130434782608696,0.0425531914893617,0.00239529998368786,0.0438231019742892,0.0374193992667027,"YCR093W/YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YMR235C/YBL050W/YDR002W",9,1,80,3,"BP_positive regulation of catalytic activity"
"MF","GO:0048037","cofactor binding",0.115942028985507,0.0374479889042996,0.00397003917188134,0.0324219865703643,0.0224620637356444,"YGL148W/YGR175C/YMR015C/YDL022W/YER086W/YMR296C/YDR062W/YGL055W",8,1,80,3,"MF_cofactor binding"
"BP","GO:0006820","anion transport",0.115942028985507,0.0332122470160872,0.00188376366073153,0.037910743672222,0.0323709913278339,"YER145C/YDR508C/YGR191W/YNR013C/YBR069C/YMR241W/YPR058W/YKL126W",8,1,80,3,"BP_anion transport"
"BP","GO:0048193","Golgi vesicle transport",0.115942028985507,0.0344231101885487,0.00236035117070203,0.0438231019742892,0.0374193992667027,"YDR141C/YEL022W/YDL100C/YHR108W/YPL249C/YNL297C/YBL050W/YBR080C",8,1,80,3,"BP_Golgi vesicle transport"
"BP","GO:0098656","anion transmembrane transport",0.101449275362319,0.0172980453208787,0.000168323461385377,0.0168969002383145,0.0144278206676945,"YER145C/YDR508C/YGR191W/YNR013C/YBR069C/YMR241W/YPR058W",7,1,80,3,"BP_anion transmembrane transport"
"BP","GO:0043547","positive regulation of GTPase activity",0.101449275362319,0.0181629475869227,0.000228314173532322,0.0171426790206725,0.0146376847342257,"YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YMR235C/YDR002W",7,1,80,3,"BP_positive regulation of GTPase activity"
"BP","GO:0048284","organelle fusion",0.101449275362319,0.0185089084933403,0.000256684218711075,0.0172192330052013,0.0147030521770466,"YHR005C/YPL249C/YBL050W/YBR080C/YOR165W/YEL013W/YJL012C",7,1,80,3,"BP_organelle fusion"
"BP","GO:0043087","regulation of GTPase activity",0.101449275362319,0.0188548693997578,0.000287832792401995,0.0178234921448927,0.0152190132338868,"YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YMR235C/YDR002W",7,1,80,3,"BP_regulation of GTPase activity"
"MF","GO:0015399","primary active transmembrane transporter activity",0.0869565217391304,0.0131761442441054,0.000266099765322824,0.00521555540032735,0.00361335470806782,"YBR039W/YLR188W/YPL058C/YLR378C/YEL031W/YLR447C",6,1,80,3,"MF_primary active transmembrane transporter activity"
"MF","GO:0015405","P-P-bond-hydrolysis-driven transmembrane transporter activity",0.0869565217391304,0.0131761442441054,0.000266099765322824,0.00521555540032735,0.00361335470806782,"YBR039W/YLR188W/YPL058C/YLR378C/YEL031W/YLR447C",6,1,80,3,"MF_P-P-bond-hydrolysis-driven transmembrane transporter activity"
"MF","GO:0005342","organic acid transmembrane transporter activity",0.0869565217391304,0.0143897364771151,0.000430249252316553,0.00766625940491312,0.00531121086591725,"YDR508C/YGR191W/YPL058C/YBR069C/YMR241W/YPR058W",6,1,80,3,"MF_organic acid transmembrane transporter activity"
"MF","GO:0008514","organic anion transmembrane transporter activity",0.0869565217391304,0.0162968099861304,0.000837267295540321,0.0131037982399848,0.00907835646056951,"YDR508C/YGR191W/YNR013C/YBR069C/YMR241W/YPR058W",6,1,80,3,"MF_organic anion transmembrane transporter activity"
"MF","GO:0051020","GTPase binding",0.0869565217391304,0.0169902912621359,0.00104264609370136,0.0145970453118191,0.0101128831644719,"YOR260W/YEL022W/YDL100C/YPL249C/YNL297C/YDR002W",6,1,80,3,"MF_GTPase binding"
"BP","GO:1903825","organic acid transmembrane transport",0.0869565217391304,0.0112437294585712,0.000110106336406213,0.0147726001345002,0.0126139364339047,"YDR508C/YGR191W/YPL058C/YBR069C/YMR241W/YPR058W",6,1,80,3,"BP_organic acid transmembrane transport"
"MF","GO:0008509","anion transmembrane transporter activity",0.0869565217391304,0.0187239944521498,0.00172618885113612,0.0193369068664516,0.0133966755412044,"YDR508C/YGR191W/YNR013C/YBR069C/YMR241W/YPR058W",6,1,80,3,"MF_anion transmembrane transporter activity"
"BP","GO:0015849","organic acid transport",0.0869565217391304,0.0167791039612524,0.000976630339664042,0.0271099111527432,0.0231484432595506,"YDR508C/YGR191W/YPL058C/YBR069C/YMR241W/YPR058W",6,1,80,3,"BP_organic acid transport"
"MF","GO:0050662","coenzyme binding",0.0869565217391304,0.0240984743411928,0.00606536520209432,0.0396270526536829,0.0274537582831638,"YGL148W/YGR175C/YDL022W/YER086W/YMR296C/YDR062W",6,1,80,3,"MF_coenzyme binding"
"BP","GO:0051049","regulation of transport",0.0869565217391304,0.0178169866805051,0.0013361697088329,0.033954271178156,0.0289926630654931,"YHR005C/YPL249C/YDR335W/YJL039C/YNR013C/YKL126W",6,1,80,3,"BP_regulation of transport"
"MF","GO:0015238","drug transmembrane transporter activity",0.072463768115942,0.0109223300970874,0.000869129475101035,0.0131037982399848,0.00907835646056951,"YDR508C/YGR191W/YBR069C/YPR156C/YPR058W",5,1,80,3,"MF_drug transmembrane transporter activity"
"MF","GO:0042626","ATPase activity, coupled to transmembrane movement of substances",0.072463768115942,0.0117891816920943,0.00123089155405401,0.0160836496396391,0.0111428077524889,"YBR039W/YLR188W/YPL058C/YEL031W/YLR447C",5,1,80,3,"MF_ATPase activity, coupled to transmembrane movement of substances"
"MF","GO:0043492","ATPase activity, coupled to movement of substances",0.072463768115942,0.0126560332871012,0.0016937752960544,0.0193369068664516,0.0133966755412044,"YBR039W/YLR188W/YPL058C/YEL031W/YLR447C",5,1,80,3,"MF_ATPase activity, coupled to movement of substances"
"MF","GO:0046943","carboxylic acid transmembrane transporter activity",0.072463768115942,0.0140429958391123,0.00268417898161627,0.0263049540198394,0.0182241625593947,"YDR508C/YGR191W/YBR069C/YMR241W/YPR058W",5,1,80,3,"MF_carboxylic acid transmembrane transporter activity"
"BP","GO:1905039","carboxylic acid transmembrane transport",0.072463768115942,0.0108977685521536,0.000860437909282143,0.0256537969248935,0.0219051054487813,"YDR508C/YGR191W/YBR069C/YMR241W/YPR058W",5,1,80,3,"BP_carboxylic acid transmembrane transport"
"MF","GO:0060589","nucleoside-triphosphatase regulator activity",0.072463768115942,0.0157766990291262,0.00444425971923339,0.0335028809603748,0.0232109110842553,"YCR093W/YPL249C/YMR235C/YBL050W/YDR002W",5,1,80,3,"MF_nucleoside-triphosphatase regulator activity"
"BP","GO:0006997","nucleus organization",0.072463768115942,0.0124545926310327,0.00157672863358964,0.0352574041677684,0.0301053742027496,"YHR005C/YKR082W/YML103C/YJL039C/YDR457W",5,1,80,3,"BP_nucleus organization"
"MF","GO:0032549","ribonucleoside binding",0.072463768115942,0.0185506241331484,0.0087737656426385,0.0491330875987756,0.0340395719669283,"YHR005C/YJR072C/YBR025C/YOR151C/YOR165W",5,1,80,3,"MF_ribonucleoside binding"
"MF","GO:0001882","nucleoside binding",0.072463768115942,0.0187239944521498,0.00911588102086676,0.0496309077802746,0.0343844634997606,"YHR005C/YJR072C/YBR025C/YOR151C/YOR165W",5,1,80,3,"MF_nucleoside binding"
"MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.0579710144927536,0.00364077669902913,9.62969711063406e-05,0.00417617401581333,0.00289326771235188,"YGR175C/YLR056W/YMR015C/YGL055W",4,1,80,3,"MF_oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"MF","GO:0015179","L-amino acid transmembrane transporter activity",0.0579710144927536,0.00433425797503467,0.000196321205751926,0.00480986954092218,0.00333229415026295,"YDR508C/YGR191W/YBR069C/YPR058W",4,1,80,3,"MF_L-amino acid transmembrane transporter activity"
"MF","GO:0015171","amino acid transmembrane transporter activity",0.0579710144927536,0.00762829403606103,0.00177583838569453,0.0193369068664516,0.0133966755412044,"YDR508C/YGR191W/YBR069C/YPR058W",4,1,80,3,"MF_amino acid transmembrane transporter activity"
"BP","GO:0006696","ergosterol biosynthetic process",0.0579710144927536,0.00536239404947241,0.000458726504518171,0.0194355176914278,0.0165954796371394,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_ergosterol biosynthetic process"
"BP","GO:0016129","phytosteroid biosynthetic process",0.0579710144927536,0.00536239404947241,0.000458726504518171,0.0194355176914278,0.0165954796371394,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_phytosteroid biosynthetic process"
"BP","GO:0044108","cellular alcohol biosynthetic process",0.0579710144927536,0.00536239404947241,0.000458726504518171,0.0194355176914278,0.0165954796371394,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_cellular alcohol biosynthetic process"
"BP","GO:0097384","cellular lipid biosynthetic process",0.0579710144927536,0.00536239404947241,0.000458726504518171,0.0194355176914278,0.0165954796371394,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_cellular lipid biosynthetic process"
"BP","GO:1902653","secondary alcohol biosynthetic process",0.0579710144927536,0.0055353745026812,0.000519571416497929,0.0209127495140417,0.0178568492091131,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_secondary alcohol biosynthetic process"
"BP","GO:0008204","ergosterol metabolic process",0.0579710144927536,0.00588133540909877,0.000658143950965,0.0224138048758771,0.019138561077408,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_ergosterol metabolic process"
"BP","GO:0016128","phytosteroid metabolic process",0.0579710144927536,0.00588133540909877,0.000658143950965,0.0224138048758771,0.019138561077408,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_phytosteroid metabolic process"
"MF","GO:0005085","guanyl-nucleotide exchange factor activity",0.0579710144927536,0.00901525658807212,0.0032965178720443,0.0286607299105895,0.0198562521936952,"YOR260W/YEL022W/YDL100C/YNL297C",4,1,80,3,"MF_guanyl-nucleotide exchange factor activity"
"BP","GO:1902652","secondary alcohol metabolic process",0.0579710144927536,0.00605431586230756,0.000736427200589937,0.023712955858996,0.0202478720835886,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_secondary alcohol metabolic process"
"BP","GO:0044107","cellular alcohol metabolic process",0.0579710144927536,0.00640027676872513,0.000912385586564515,0.0262310856137298,0.0223980371438582,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_cellular alcohol metabolic process"
"BP","GO:0016126","sterol biosynthetic process",0.0579710144927536,0.00709219858156028,0.00134973500335527,0.033954271178156,0.0289926630654931,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_sterol biosynthetic process"
"BP","GO:0006694","steroid biosynthetic process",0.0579710144927536,0.00726517903476907,0.00147850967891016,0.0340057226149338,0.0290365961001004,"YGR175C/YLR056W/YMR015C/YHR190W",4,1,80,3,"BP_steroid biosynthetic process"
"BP","GO:0042144","vacuole fusion, non-autophagic",0.0579710144927536,0.00726517903476907,0.00147850967891016,0.0340057226149338,0.0290365961001004,"YBL050W/YBR080C/YEL013W/YJL012C",4,1,80,3,"BP_vacuole fusion, non-autophagic"
"BP","GO:0097576","vacuole fusion",0.0579710144927536,0.00726517903476907,0.00147850967891016,0.0340057226149338,0.0290365961001004,"YBL050W/YBR080C/YEL013W/YJL012C",4,1,80,3,"BP_vacuole fusion"
"BP","GO:0003333","amino acid transmembrane transport",0.0579710144927536,0.00761113994118665,0.00176134268906658,0.0374597216360101,0.0319858754211371,"YDR508C/YGR191W/YBR069C/YPR058W",4,1,80,3,"BP_amino acid transmembrane transport"
"BP","GO:0006855","drug transmembrane transport",0.0579710144927536,0.00795710084760422,0.00207973756678213,0.0408338717380394,0.0348669738410458,"YGR191W/YPR156C/YMR241W/YPR058W",4,1,80,3,"BP_drug transmembrane transport"
"BP","GO:0046822","regulation of nucleocytoplasmic transport",0.0434782608695652,0.00224874589171424,0.000427291013184545,0.0194355176914278,0.0165954796371394,"YHR005C/YDR335W/YJL039C",3,1,80,3,"BP_regulation of nucleocytoplasmic transport"
"BP","GO:0006409","tRNA export from nucleus",0.0434782608695652,0.00259470679813181,0.000668237660895715,0.0224138048758771,0.019138561077408,"YDR335W/YKR082W/YMR235C",3,1,80,3,"BP_tRNA export from nucleus"
"BP","GO:0071431","tRNA-containing ribonucleoprotein complex export from nucleus",0.0434782608695652,0.00259470679813181,0.000668237660895715,0.0224138048758771,0.019138561077408,"YDR335W/YKR082W/YMR235C",3,1,80,3,"BP_tRNA-containing ribonucleoprotein complex export from nucleus"
"MF","GO:0017056","structural constituent of nuclear pore",0.0434782608695652,0.00433425797503467,0.00312110900210306,0.0286607299105895,0.0198562521936952,"YKR082W/YML103C/YJL039C",3,1,80,3,"MF_structural constituent of nuclear pore"
"BP","GO:0061077","chaperone-mediated protein folding",0.0434782608695652,0.0027676872513406,0.000815438185930733,0.0252472207567016,0.0215579407049704,"YJR064W/YDR188W/YDL100C",3,1,80,3,"BP_chaperone-mediated protein folding"
"BP","GO:0006895","Golgi to endosome transport",0.0434782608695652,0.00311364815775817,0.00116806024965415,0.0313429500323864,0.0267629243166373,"YDR141C/YHR108W/YNL297C",3,1,80,3,"BP_Golgi to endosome transport"
"BP","GO:0051031","tRNA transport",0.0434782608695652,0.00363258951738454,0.00185565719201094,0.037910743672222,0.0323709913278339,"YDR335W/YKR082W/YMR235C",3,1,80,3,"BP_tRNA transport"
