"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE","GO"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.5,0.0142707970762269,0.0283403870918492,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up","MF_oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.5,0.0151409676296554,0.0300552819579791,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_Co_WT_vs_Co_ATG","Up","MF_oxidoreductase activity, acting on CH-OH group of donors"
"BP","GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway",0.5,0.0017307026652821,0.0034587090653766,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up","BP_amino acid catabolic process to alcohol via Ehrlich pathway"
"BP","GO:0000955","amino acid catabolic process via Ehrlich pathway",0.5,0.00190377293181032,0.0038042504283915,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up","BP_amino acid catabolic process via Ehrlich pathway"
"BP","GO:0006113","fermentation",0.5,0.00259605399792316,0.00518581671040896,0.0328435058325901,0.0181958481066981,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up","BP_fermentation"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.5,0.0142707970762269,0.0283403870918492,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up","MF_oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.5,0.0151409676296554,0.0300552819579791,0.0450829229369687,0.015818569451568,"YGL256W",1,"raw_B2_WT_vs_B2_ATG_and_raw_Co_WT_vs_Co_ATG","Up","MF_oxidoreductase activity, acting on CH-OH group of donors"
"CC","GO:0005840","ribosome",0.254237288135593,0.0438095238095238,1.96667642824265e-08,3.21223816612966e-07,2.89825999951548e-07,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_ribosome"
"CC","GO:0044391","ribosomal subunit",0.254237288135593,0.0398268398268398,5.34631415098931e-09,1.30984696699238e-07,1.18181681232395e-07,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_ribosomal subunit"
"CC","GO:0022626","cytosolic ribosome",0.254237288135593,0.027012987012987,2.1692302590676e-11,1.06292282694312e-09,9.5902811453515e-10,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_cytosolic ribosome"
"BP","GO:0006412","translation",0.25,0.0861889927310488,0.000120797284112416,0.00785182346730705,0.00701169198005904,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_translation"
"MF","GO:0005198","structural molecule activity",0.25,0.0598677340758789,1.50692308938566e-06,7.91134621927472e-05,7.53461544692831e-05,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_structural molecule activity"
"MF","GO:0003735","structural constituent of ribosome",0.25,0.0382875043508528,3.98813879022607e-09,4.18754572973737e-07,3.98813879022607e-07,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_structural constituent of ribosome"
"BP","GO:0002181","cytoplasmic translation",0.25,0.0330564209068882,5.12081703796142e-10,2.32997175227245e-07,2.08066881752959e-07,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YJR094W-A/YPR043W/YLR325C/YLR406C/YMR230W/YNL302C/YOL121C",15,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_cytoplasmic translation"
"BP","GO:0042254","ribosome biogenesis",0.183333333333333,0.0683627552786431,0.00215332418848558,0.0445346593527699,0.0397695280744226,"YBR048W/YDR025W/YDR447C/YGL030W/YGL031C/YGR148C/YER074W/YIL069C/YMR230W/YNL302C/YOL121C",11,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribosome biogenesis"
"BP","GO:0022618","ribonucleoprotein complex assembly",0.15,0.0302872966424368,6.82027534218473e-05,0.00756534890317054,0.00675586969722112,"YBR048W/YDR025W/YDR447C/YGL031C/YGR148C/YLR325C/YMR230W/YNL302C/YOL121C",9,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribonucleoprotein complex assembly"
"BP","GO:0071826","ribonucleoprotein complex subunit organization",0.15,0.0313257182416061,8.86302181438838e-05,0.00756534890317054,0.00675586969722112,"YBR048W/YDR025W/YDR447C/YGL031C/YGR148C/YLR325C/YMR230W/YNL302C/YOL121C",9,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribonucleoprotein complex subunit organization"
"CC","GO:0015935","small ribosomal subunit",0.135593220338983,0.0171428571428571,6.05272944147619e-06,5.93167485264667e-05,5.35188708509474e-05,"YBR048W/YDR025W/YDR447C/YER074W/YIL069C/YMR230W/YNL302C/YOL121C",8,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_small ribosomal subunit"
"CC","GO:0022627","cytosolic small ribosomal subunit",0.135593220338983,0.0112554112554113,2.33602737815649e-07,2.8616335382417e-06,2.5819249969098e-06,"YBR048W/YDR025W/YDR447C/YER074W/YIL069C/YMR230W/YNL302C/YOL121C",8,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_cytosolic small ribosomal subunit"
"BP","GO:0070925","organelle assembly",0.133333333333333,0.0351332641052267,0.00107455277337188,0.0232819767563908,0.0207908456401778,"YBR048W/YDR025W/YDR447C/YGL031C/YGR148C/YMR230W/YNL302C/YOL121C",8,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_organelle assembly"
"BP","GO:0140694","non-membrane-bounded organelle assembly",0.133333333333333,0.0275181723779855,0.000208972452263804,0.0092238077676562,0.00823687634081039,"YBR048W/YDR025W/YDR447C/YGL031C/YGR148C/YMR230W/YNL302C/YOL121C",8,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_non-membrane-bounded organelle assembly"
"BP","GO:0042274","ribosomal small subunit biogenesis",0.133333333333333,0.0247490481135341,9.97628426791719e-05,0.00756534890317054,0.00675586969722112,"YBR048W/YDR025W/YDR447C/YER074W/YIL069C/YMR230W/YNL302C/YOL121C",8,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribosomal small subunit biogenesis"
"BP","GO:0042255","ribosome assembly",0.133333333333333,0.0134994807892004,1.11314500722486e-06,0.000168826992762437,0.000150762797469753,"YBR048W/YDR025W/YDR447C/YGL031C/YGR148C/YMR230W/YNL302C/YOL121C",8,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribosome assembly"
"CC","GO:0015934","large ribosomal subunit",0.11864406779661,0.0226839826839827,0.00033635790486286,0.00235450533404002,0.00212436571492332,"YGL030W/YGL031C/YGR148C/YJR094W-A/YPR043W/YLR325C/YLR406C",7,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_large ribosomal subunit"
"CC","GO:0022625","cytosolic large ribosomal subunit",0.11864406779661,0.0143722943722944,1.83116263429289e-05,0.000149544948467253,0.000134927773053161,"YGL030W/YGL031C/YGR148C/YJR094W-A/YPR043W/YLR325C/YLR406C",7,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","CC_cytosolic large ribosomal subunit"
"BP","GO:0000028","ribosomal small subunit assembly",0.1,0.00484596746278989,3.0651413706088e-07,6.97319661813503e-05,6.22707667923683e-05,"YBR048W/YDR025W/YDR447C/YMR230W/YNL302C/YOL121C",6,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribosomal small subunit assembly"
"BP","GO:0016052","carbohydrate catabolic process",0.0833333333333333,0.0155763239875389,0.00228159813064527,0.0451359630192869,0.0403064932919485,"YBR196C/YGR192C/YGR254W/YJL052W/YLR308W",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_carbohydrate catabolic process"
"BP","GO:0006090","pyruvate metabolic process",0.0666666666666667,0.00709588092765663,0.000798721544471009,0.0181709151367154,0.0162266587455689,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_pyruvate metabolic process"
"BP","GO:0009132","nucleoside diphosphate metabolic process",0.0666666666666667,0.00623052959501558,0.000482912624672175,0.0129250143662259,0.0115420602553226,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_nucleoside diphosphate metabolic process"
"BP","GO:0009185","ribonucleoside diphosphate metabolic process",0.0666666666666667,0.00571131879543095,0.000343353520277228,0.00976411573288366,0.00871937229125065,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ribonucleoside diphosphate metabolic process"
"BP","GO:0006096","glycolytic process",0.0666666666666667,0.0050190377293181,0.000205565422037204,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_glycolytic process"
"BP","GO:0006757","ATP generation from ADP",0.0666666666666667,0.0050190377293181,0.000205565422037204,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ATP generation from ADP"
"BP","GO:0006165","nucleoside diphosphate phosphorylation",0.0666666666666667,0.00536517826237452,0.000268141101506205,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_nucleoside diphosphate phosphorylation"
"BP","GO:0046031","ADP metabolic process",0.0666666666666667,0.00536517826237452,0.000268141101506205,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_ADP metabolic process"
"BP","GO:0009135","purine nucleoside diphosphate metabolic process",0.0666666666666667,0.00553824852890273,0.000304081574757897,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_purine nucleoside diphosphate metabolic process"
"BP","GO:0009179","purine ribonucleoside diphosphate metabolic process",0.0666666666666667,0.00553824852890273,0.000304081574757897,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_purine ribonucleoside diphosphate metabolic process"
"BP","GO:0046939","nucleotide phosphorylation",0.0666666666666667,0.00553824852890273,0.000304081574757897,0.0092238077676562,0.00823687634081039,"YBR196C/YGR192C/YGR254W/YJL052W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_nucleotide phosphorylation"
"MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",0.0666666666666667,0.00522102332057083,0.000240376412332462,0.0050479046589817,0.00480752824664924,"YGR192C/YJL052W/YKL107W/YMR169C",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_oxidoreductase activity, acting on the aldehyde or oxo group of donors"
"MF","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",0.0666666666666667,0.00417681865645667,9.76684107575338e-05,0.00323729408761614,0.00308313722630109,"YGR192C/YJL052W/YKL107W/YMR169C",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"BP","GO:0006407","rRNA export from nucleus",0.05,0.00311526479750779,0.000777562105592401,0.0181709151367154,0.0162266587455689,"YMR230W/YNL302C/YOL121C",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_rRNA export from nucleus"
"BP","GO:0051029","rRNA transport",0.05,0.00311526479750779,0.000777562105592401,0.0181709151367154,0.0162266587455689,"YMR230W/YNL302C/YOL121C",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","BP_rRNA transport"
"MF","GO:1904408","melatonin binding",0.05,0.00174034110685694,0.000123325489052044,0.00323729408761614,0.00308313722630109,"YGR192C/YGR254W/YJL052W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Up","MF_melatonin binding"
"BP","GO:0022414","reproductive process",0.352941176470588,0.0834198684665974,0.00182087858967051,0.0326102801968263,0.0261370132488589,"YGL089C/YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",6,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_reproductive process"
"BP","GO:0019953","sexual reproduction",0.352941176470588,0.0406715126341295,3.60354454785942e-05,0.00242398417533698,0.00194281392626528,"YGL089C/YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",6,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_sexual reproduction"
"BP","GO:0044703","multi-organism reproductive process",0.352941176470588,0.0406715126341295,3.60354454785942e-05,0.00242398417533698,0.00194281392626528,"YGL089C/YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",6,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_multi-organism reproductive process"
"BP","GO:0051704","multi-organism process",0.352941176470588,0.0408445829006577,3.69134645990403e-05,0.00242398417533698,0.00194281392626528,"YGL089C/YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",6,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_multi-organism process"
"CC","GO:0009277","fungal-type cell wall",0.294117647058824,0.023030303030303,2.97675572106341e-05,0.000432325836721634,0.00038815632399156,"YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","CC_fungal-type cell wall"
"CC","GO:0005618","cell wall",0.294117647058824,0.0240692640692641,3.68487279593906e-05,0.000432325836721634,0.00038815632399156,"YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","CC_cell wall"
"CC","GO:0030312","external encapsulating structure",0.294117647058824,0.0242424242424242,3.81463973577912e-05,0.000432325836721634,0.00038815632399156,"YAL068C/YGL261C/YJR004C/YKL096W/YNR044W",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","CC_external encapsulating structure"
"BP","GO:0032502","developmental process",0.235294117647059,0.0444790584977501,0.00575109024913382,0.0472068657949734,0.0378361200600909,"YDR309C/YAL068C/YGL261C/YKL096W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_developmental process"
"BP","GO:0009653","anatomical structure morphogenesis",0.235294117647059,0.0368639667705088,0.00292668404256052,0.0384371170922948,0.0308072004480055,"YDR309C/YAL068C/YGL261C/YKL096W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_anatomical structure morphogenesis"
"BP","GO:0048856","anatomical structure development",0.235294117647059,0.0368639667705088,0.00292668404256052,0.0384371170922948,0.0308072004480055,"YDR309C/YAL068C/YGL261C/YKL096W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_anatomical structure development"
"BP","GO:0071310","cellular response to organic substance",0.235294117647059,0.0334025614399446,0.00204015750699433,0.0334925857398236,0.0268441777236096,"YGL089C/YGR234W/YJR004C/YNR044W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_cellular response to organic substance"
"CC","GO:0005576","extracellular region",0.235294117647059,0.0204329004329004,0.0003209229518132,0.0027278450904122,0.00244914884278495,"YGL089C/YJR004C/YKL096W/YNR044W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","CC_extracellular region"
"BP","GO:0030437","ascospore formation",0.176470588235294,0.0199030806507442,0.00426086595551913,0.0411347070915113,0.0329693083821891,"YAL068C/YGL261C/YKL096W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_ascospore formation"
"BP","GO:0048468","cell development",0.176470588235294,0.0199030806507442,0.00426086595551913,0.0411347070915113,0.0329693083821891,"YAL068C/YGL261C/YKL096W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_cell development"
"BP","GO:0000747","conjugation with cellular fusion",0.176470588235294,0.0202492211838006,0.00447276075617032,0.0411347070915113,0.0329693083821891,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_conjugation with cellular fusion"
"BP","GO:0140253","cell-cell fusion",0.176470588235294,0.0202492211838006,0.00447276075617032,0.0411347070915113,0.0329693083821891,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_cell-cell fusion"
"BP","GO:0000746","conjugation",0.176470588235294,0.0204222914503288,0.00458108604640876,0.0411347070915113,0.0329693083821891,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_conjugation"
"BP","GO:0044764","multi-organism cellular process",0.176470588235294,0.0204222914503288,0.00458108604640876,0.0411347070915113,0.0329693083821891,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_multi-organism cellular process"
"BP","GO:0034293","sexual sporulation",0.176470588235294,0.0207684319833853,0.00480252925433888,0.0411347070915113,0.0329693083821891,"YAL068C/YGL261C/YKL096W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_sexual sporulation"
"BP","GO:0043935","sexual sporulation resulting in formation of a cellular spore",0.176470588235294,0.0207684319833853,0.00480252925433888,0.0411347070915113,0.0329693083821891,"YAL068C/YGL261C/YKL096W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_sexual sporulation resulting in formation of a cellular spore"
"BP","GO:0019236","response to pheromone",0.176470588235294,0.0160955347871236,0.00233097623073712,0.0353232551888625,0.0283114521951877,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_response to pheromone"
"BP","GO:0071444","cellular response to pheromone",0.176470588235294,0.0141917618553133,0.0016229975448286,0.0326102801968263,0.0261370132488589,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_cellular response to pheromone"
"BP","GO:0000749","response to pheromone triggering conjugation with cellular fusion",0.176470588235294,0.0115957078573901,0.000902251878883268,0.0296239366900006,0.0237434704969281,"YGL089C/YJR004C/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_response to pheromone triggering conjugation with cellular fusion"
"MF","GO:0005199","structural constituent of cell wall",0.176470588235294,0.00748346675948486,0.000246797318067316,0.0101186900407599,0.00883274612030393,"YAL068C/YGL261C/YKL096W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","MF_structural constituent of cell wall"
"CC","GO:0031225","anchored component of membrane",0.176470588235294,0.0112554112554113,0.000826918894438841,0.00562304848218412,0.0050485574607845,"YJR004C/YKL096W/YNR044W",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","CC_anchored component of membrane"
"BP","GO:0051703","biological process involved in intraspecies interaction between organisms",0.117647058823529,0.003288335064036,0.00135300942892881,0.0326102801968263,0.0261370132488589,"YJR004C/YNR044W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_biological process involved in intraspecies interaction between organisms"
